2026-05-28 17:43:37 [INFO] cfg_agent_attempt_001 | === config-agent attempt @ 2026-05-28 17:43:37 ===
2026-05-28 17:43:37 [INFO] cfg_agent_attempt_001 | problem_dir: /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001
2026-05-28 17:43:37 [INFO] cfg_agent_attempt_001 | strategy: S001 → knob=max-running-requests value=64
2026-05-28 17:43:37 [INFO] cfg_agent_attempt_001 | attempt_dir: /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/attempts/attempt_001
2026-05-28 17:43:37 [INFO] cfg_agent_attempt_001 | candidate written: max-running-requests=64
2026-05-28 17:43:37 [INFO] cfg_agent_attempt_001 | --- target ---
2026-05-28 17:43:37 [INFO] cfg_agent_attempt_001 |   CMD: /home/t-jialianggu/.conda/envs/sglang-dev/bin/python /home/t-jialianggu/work/EndtoEnd-auto-optimization/scripts/run_experiment.py --config /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/attempts/attempt_001/candidate_config.yaml --workload /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/workload.yaml --mode quick --out-dir /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/attempts/attempt_001/verification/target --server-start-timeout 600 --benchmark-timeout 1200
2026-05-28 17:44:58 [INFO] cfg_agent_attempt_001 |   → rc=0 dur=81.8s passed=True
2026-05-28 17:44:58 [INFO] cfg_agent_attempt_001 | --- neighbor scheduler_overhead_high_concurrency__con_16 ---
2026-05-28 17:44:58 [INFO] cfg_agent_attempt_001 |   CMD: /home/t-jialianggu/.conda/envs/sglang-dev/bin/python /home/t-jialianggu/work/EndtoEnd-auto-optimization/scripts/run_experiment.py --config /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/attempts/attempt_001/candidate_config.yaml --workload /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/neighbors/scheduler_overhead_high_concurrency__con_16.yaml --mode quick --out-dir /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/attempts/attempt_001/verification/neighbors/scheduler_overhead_high_concurrency__con_16 --server-start-timeout 600 --benchmark-timeout 1200
2026-05-28 17:46:20 [INFO] cfg_agent_attempt_001 |   → rc=0 dur=81.9s passed=True
2026-05-28 17:46:20 [INFO] cfg_agent_attempt_001 | --- neighbor scheduler_overhead_high_concurrency__con_32 ---
2026-05-28 17:46:20 [INFO] cfg_agent_attempt_001 |   CMD: /home/t-jialianggu/.conda/envs/sglang-dev/bin/python /home/t-jialianggu/work/EndtoEnd-auto-optimization/scripts/run_experiment.py --config /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/attempts/attempt_001/candidate_config.yaml --workload /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/neighbors/scheduler_overhead_high_concurrency__con_32.yaml --mode quick --out-dir /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/attempts/attempt_001/verification/neighbors/scheduler_overhead_high_concurrency__con_32 --server-start-timeout 600 --benchmark-timeout 1200
2026-05-28 17:47:42 [INFO] cfg_agent_attempt_001 |   → rc=0 dur=81.5s passed=True
2026-05-28 17:47:42 [INFO] cfg_agent_attempt_001 | --- control prefill_long ---
2026-05-28 17:47:42 [INFO] cfg_agent_attempt_001 |   CMD: /home/t-jialianggu/.conda/envs/sglang-dev/bin/python /home/t-jialianggu/work/EndtoEnd-auto-optimization/scripts/run_experiment.py --config /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/attempts/attempt_001/candidate_config.yaml --workload /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/controls/prefill_long.yaml --mode quick --out-dir /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/problems_moe/P001/attempts/attempt_001/verification/controls/prefill_long --server-start-timeout 600 --benchmark-timeout 1200
2026-05-28 17:49:07 [INFO] cfg_agent_attempt_001 |   → rc=0 dur=85.5s passed=True
2026-05-28 17:49:07 [INFO] cfg_agent_attempt_001 |   primary ttft_p95_ms: baseline=2282.4782288284036 new=168.68310916470364 improvement=+92.6% (need ≥30.0%)
2026-05-28 17:49:07 [INFO] cfg_agent_attempt_001 | === DECISION: keep ===
2026-05-28 17:49:07 [INFO] cfg_agent_attempt_001 | Primary metric improved +92.6% ≥ 30.0% threshold; no constraint violations.
2026-05-28 17:49:07 [INFO] cfg_agent_attempt_001 | also_solved: [{'ref': 'prefill_long', 'metric': 'ttft_p95_ms', 'delta_pct': 79.71, 'note': 'Side improvement under the same knob change.'}]
