2026-05-28 17:11:08 [INFO] explore | === Stage 1 EXPLORE started at 2026-05-28 17:11:08 ===
2026-05-28 17:11:08 [INFO] explore | args={'config': 'configs/base.yaml', 'seed': 'regime_scout/seed_suite.yaml', 'candidates': 'regime_scout/candidates', 'expanded_dir': 'regime_scout/candidates/expanded', 'raw': 'regime_scout/outputs/raw_results.jsonl', 'suspicious': 'regime_scout/outputs/suspicious_cases.jsonl', 'regime_md': 'regime_scout/outputs/regime_map.md', 'regime_json': 'regime_scout/outputs/regime_map.json', 'selected': 'regime_scout/outputs/selected_cases.jsonl', 'search_space': 'regime_scout/search_space.yaml', 'noise_baseline': 'experiments/noise_baseline.json', 'max_cases': 5, 'wave_budget_s': 2400, 'max_waves': 1, 'max_neighbors_per_plan': 3, 'reuse_seed_run': True, 'threshold': 0.3}
2026-05-28 17:11:08 [INFO] explore | --reuse-seed-run: skipping wave 0 generation and suite run
2026-05-28 17:11:08 [INFO] explore | STEP score v2 (wave 0): /home/t-jialianggu/.conda/envs/sglang-dev/bin/python /home/t-jialianggu/work/EndtoEnd-auto-optimization/.github/skills/suspicion-scoring/impl/score.py --raw regime_scout/outputs/raw_results.jsonl --noise-baseline experiments/noise_baseline.json --out regime_scout/outputs/suspicious_cases.jsonl --force-mine
2026-05-28 17:11:09 [INFO] explore | STEP score v2 (wave 0) OK (0.1s) rc=0
2026-05-28 17:11:09 [INFO] explore | max_waves=1: skipping expansion
2026-05-28 17:11:09 [INFO] explore | STEP cluster_regimes: /home/t-jialianggu/.conda/envs/sglang-dev/bin/python /home/t-jialianggu/work/EndtoEnd-auto-optimization/scripts/cluster_regimes.py --raw regime_scout/outputs/raw_results.jsonl --suspicious regime_scout/outputs/suspicious_cases.jsonl --server-config configs/base.yaml --out-md regime_scout/outputs/regime_map.md --out-json regime_scout/outputs/regime_map.json
2026-05-28 17:11:09 [INFO] explore | STEP cluster_regimes OK (0.0s) rc=0
2026-05-28 17:11:09 [INFO] explore | STEP select_cases: /home/t-jialianggu/.conda/envs/sglang-dev/bin/python /home/t-jialianggu/work/EndtoEnd-auto-optimization/scripts/select_cases_for_stage2.py --raw regime_scout/outputs/raw_results.jsonl --suspicious regime_scout/outputs/suspicious_cases.jsonl --regime-map regime_scout/outputs/regime_map.json --server-config configs/base.yaml --out regime_scout/outputs/selected_cases.jsonl --max-cases 5 --threshold 0.3
2026-05-28 17:11:09 [INFO] explore | STEP select_cases OK (0.0s) rc=0
2026-05-28 17:11:09 [INFO] explore | === Stage 1 EXPLORE finished at 2026-05-28 17:11:09 ===
