nohup: ignoring input
2026-05-28 02:32:13 [INFO] regime_suite | === Stage 1 RegimeScout run started at 2026-05-28 02:32:13 ===
2026-05-28 02:32:13 [INFO] regime_suite | server_config=/home/t-jialianggu/work/EndtoEnd-auto-optimization/configs/base.yaml
2026-05-28 02:32:13 [INFO] regime_suite | workload_dir=/home/t-jialianggu/work/EndtoEnd-auto-optimization/regime_scout/candidates
2026-05-28 02:32:13 [INFO] regime_suite | mode=quick
2026-05-28 02:32:13 [INFO] regime_suite | out=/home/t-jialianggu/work/EndtoEnd-auto-optimization/regime_scout/outputs/raw_results.jsonl
2026-05-28 02:32:13 [INFO] regime_suite | run_root=/home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/tmp/regime_scout/20260528_023213
2026-05-28 02:32:13 [INFO] regime_suite | wall_budget_s=3000 server_start_timeout=240 bench_timeout=600
2026-05-28 02:32:13 [INFO] regime_suite | 10 workload(s) to run
2026-05-28 02:32:13 [INFO] regime_suite | ------------------------------------------------------------------------
2026-05-28 02:32:13 [INFO] regime_suite | [1/10] START workload=smoke regime_hint=sanity run_dir=/home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/tmp/regime_scout/20260528_023213/run_0001_smoke
2026-05-28 02:33:20 [INFO] regime_suite | [1/10] PASS (67.1s) ttft_p50=24.371734471060336 ttft_p95=98.65602259524167 tpot_p50=3.417223312058731 out_tps=628.5524019773354 req_tps=46.23833761672352 err=None
2026-05-28 02:33:20 [INFO] regime_suite | ------------------------------------------------------------------------
2026-05-28 02:33:20 [INFO] regime_suite | [2/10] START workload=tiny_latency regime_hint=scheduler_overhead run_dir=/home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/tmp/regime_scout/20260528_023213/run_0002_tiny_latency
2026-05-28 02:34:28 [INFO] regime_suite | [2/10] PASS (67.9s) ttft_p50=11.544477543793619 ttft_p95=13.838351296726612 tpot_p50=1.6675840597599745 out_tps=187.2918799598005 req_tps=65.8608808649848 err=None
2026-05-28 02:34:28 [INFO] regime_suite | ------------------------------------------------------------------------
2026-05-28 02:34:28 [INFO] regime_suite | [3/10] START workload=short_in_short_out regime_hint=scheduler_or_cuda_graph run_dir=/home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/tmp/regime_scout/20260528_023213/run_0003_short_in_short_out
2026-05-28 02:35:26 [INFO] regime_suite | [3/10] PASS (57.4s) ttft_p50=34.39202741719782 ttft_p95=98.65436461986974 tpot_p50=7.245428572544673 out_tps=1638.8605065741883 req_tps=99.21213812026869 err=None
2026-05-28 02:35:26 [INFO] regime_suite | ------------------------------------------------------------------------
2026-05-28 02:35:26 [INFO] regime_suite | [4/10] START workload=scheduler_overhead_high_concurrency regime_hint=scheduler_tail run_dir=/home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/tmp/regime_scout/20260528_023213/run_0004_scheduler_overhead_high_concurrency
2026-05-28 02:36:33 [INFO] regime_suite | [4/10] PASS (67.2s) ttft_p50=129.33581543620676 ttft_p95=434.23173365881667 tpot_p50=16.240979961973302 out_tps=1835.319500889858 req_tps=211.33581874226508 err=None
2026-05-28 02:36:33 [INFO] regime_suite | ------------------------------------------------------------------------
2026-05-28 02:36:33 [INFO] regime_suite | [5/10] START workload=prefill_medium regime_hint=prefill run_dir=/home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/tmp/regime_scout/20260528_023213/run_0005_prefill_medium
