-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_8(8)         0.00%       0.000us         0.00%       0.000us       0.000us        3.363s        95.83%        3.363s       6.621ms           508  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us        1.107s        31.55%        1.107s      44.889us         24672  
_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniv...         0.00%       0.000us         0.00%       0.000us       0.000us     596.905ms        17.01%     596.905ms      24.383us         24480  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us     309.597ms         8.82%     309.597ms      12.647us         24480  
                execute_context_7(5603)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     303.068ms         8.63%     303.068ms     151.534ms             2  
                                      vllm::moe_forward         2.60%      87.697ms         3.67%     123.799ms     644.786us     278.435ms         7.93%     282.620ms       1.472ms           192  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     192.476ms         5.48%     192.476ms       7.863us         24480  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     180.209ms         5.13%     180.209ms       7.361us         24480  
                 execute_context_1(800)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     149.253ms         4.25%     149.253ms      74.626ms             2  
                 nvjet_sm90_tst_8x64_64x16_4x1_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     129.065ms         3.68%     129.065ms       5.272us         24480  
_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniv...         0.00%       0.000us         0.00%       0.000us       0.000us     112.075ms         3.19%     112.075ms     583.724us           192  
                                               aten::mm         1.50%      50.764ms         1.87%      63.137ms      57.923us     110.720ms         3.15%     111.081ms     101.909us          1090  
void vllm::moe::topkGating<8, 128, 4, 16, 32, int, _...         0.00%       0.000us         0.00%       0.000us       0.000us     104.425ms         2.98%     104.425ms       4.233us         24672  
                 nvjet_sm90_tst_384x8_64x4_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      77.196ms         2.20%      77.196ms     150.187us           514  
void cutlass::device_kernel<flash::FlashAttnFwdCombi...         0.00%       0.000us         0.00%       0.000us       0.000us      74.834ms         2.13%      74.834ms       3.057us         24480  
void tensorrt_llm::kernels::cutlass_kernels::fusedBu...         0.00%       0.000us         0.00%       0.000us       0.000us      73.516ms         2.09%      73.516ms       3.003us         24480  
