==PROF== Connected to process 762989 (/home/t-jialianggu/.conda/envs/vllm-bench/bin/python3.11)
WARMUP DONE — entering measurement
done
==PROF== Disconnected from process 762989
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","762989","python3.11","127.0.0.1","void device_kernel<GemmUniversal<GroupProblemShape<tuple<long, long, long>>, CollectiveMma<MainloopSm90ArrayTmaGmmaWarpSpecialized<12, tuple<C<1>, C<1>, C<1>>, KernelPtrArrayTmaWarpSpecializedCooperative>, tuple<C<128>, C<16>, C<64>>, bfloat16_t, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, TiledMMA<MMA_Atom<MMA_64x16x16_F32BF16BF16_SS<0, 0, 1, 1>>, Layout<tuple<C<2>, C<1>, C<1>>, tuple<C<1>, C<0>, C<0>>>, tuple<Underscore, Underscore, Underscore>>, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity>, CollectiveEpilogue<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, void, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, FusionCallbacks<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, LinearCombination<bfloat16_t, float, void, float, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, >, SM90_TMA_LOAD, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM75_U32x4_LDSM_N, SM90_TMA_STORE, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM90_U32x4_STSM_N, Copy_Atom<SM90_U32x4_STSM_N, half_t>, void>, void, void>>(Params)","1","7","(384, 1, 1)","(1, 132, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","10.89"
"0","762989","python3.11","127.0.0.1","void device_kernel<GemmUniversal<GroupProblemShape<tuple<long, long, long>>, CollectiveMma<MainloopSm90ArrayTmaGmmaWarpSpecialized<12, tuple<C<1>, C<1>, C<1>>, KernelPtrArrayTmaWarpSpecializedCooperative>, tuple<C<128>, C<16>, C<64>>, bfloat16_t, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, TiledMMA<MMA_Atom<MMA_64x16x16_F32BF16BF16_SS<0, 0, 1, 1>>, Layout<tuple<C<2>, C<1>, C<1>>, tuple<C<1>, C<0>, C<0>>>, tuple<Underscore, Underscore, Underscore>>, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity>, CollectiveEpilogue<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, void, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, FusionCallbacks<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, LinearCombination<bfloat16_t, float, void, float, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, >, SM90_TMA_LOAD, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM75_U32x4_LDSM_N, SM90_TMA_STORE, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM90_U32x4_STSM_N, Copy_Atom<SM90_U32x4_STSM_N, half_t>, void>, void, void>>(Params)","1","7","(384, 1, 1)","(1, 132, 1)","0","9.0","Command line profiler metrics","l1tex__t_sector_hit_rate.pct","%","92.67"
"0","762989","python3.11","127.0.0.1","void device_kernel<GemmUniversal<GroupProblemShape<tuple<long, long, long>>, CollectiveMma<MainloopSm90ArrayTmaGmmaWarpSpecialized<12, tuple<C<1>, C<1>, C<1>>, KernelPtrArrayTmaWarpSpecializedCooperative>, tuple<C<128>, C<16>, C<64>>, bfloat16_t, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, TiledMMA<MMA_Atom<MMA_64x16x16_F32BF16BF16_SS<0, 0, 1, 1>>, Layout<tuple<C<2>, C<1>, C<1>>, tuple<C<1>, C<0>, C<0>>>, tuple<Underscore, Underscore, Underscore>>, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity>, CollectiveEpilogue<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, void, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, FusionCallbacks<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, LinearCombination<bfloat16_t, float, void, float, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, >, SM90_TMA_LOAD, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM75_U32x4_LDSM_N, SM90_TMA_STORE, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM90_U32x4_STSM_N, Copy_Atom<SM90_U32x4_STSM_N, half_t>, void>, void, void>>(Params)","1","7","(384, 1, 1)","(1, 132, 1)","0","9.0","Command line profiler metrics","lts__t_sector_hit_rate.pct","%","59.24"
"0","762989","python3.11","127.0.0.1","void device_kernel<GemmUniversal<GroupProblemShape<tuple<long, long, long>>, CollectiveMma<MainloopSm90ArrayTmaGmmaWarpSpecialized<12, tuple<C<1>, C<1>, C<1>>, KernelPtrArrayTmaWarpSpecializedCooperative>, tuple<C<128>, C<16>, C<64>>, bfloat16_t, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, TiledMMA<MMA_Atom<MMA_64x16x16_F32BF16BF16_SS<0, 0, 1, 1>>, Layout<tuple<C<2>, C<1>, C<1>>, tuple<C<1>, C<0>, C<0>>>, tuple<Underscore, Underscore, Underscore>>, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity>, CollectiveEpilogue<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, void, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, FusionCallbacks<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, LinearCombination<bfloat16_t, float, void, float, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, >, SM90_TMA_LOAD, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM75_U32x4_LDSM_N, SM90_TMA_STORE, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM90_U32x4_STSM_N, Copy_Atom<SM90_U32x4_STSM_N, half_t>, void>, void, void>>(Params)","1","7","(384, 1, 1)","(1, 132, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.max_rate","inst","1"
"0","762989","python3.11","127.0.0.1","void device_kernel<GemmUniversal<GroupProblemShape<tuple<long, long, long>>, CollectiveMma<MainloopSm90ArrayTmaGmmaWarpSpecialized<12, tuple<C<1>, C<1>, C<1>>, KernelPtrArrayTmaWarpSpecializedCooperative>, tuple<C<128>, C<16>, C<64>>, bfloat16_t, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, TiledMMA<MMA_Atom<MMA_64x16x16_F32BF16BF16_SS<0, 0, 1, 1>>, Layout<tuple<C<2>, C<1>, C<1>>, tuple<C<1>, C<0>, C<0>>>, tuple<Underscore, Underscore, Underscore>>, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity>, CollectiveEpilogue<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, void, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, FusionCallbacks<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, LinearCombination<bfloat16_t, float, void, float, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, >, SM90_TMA_LOAD, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM75_U32x4_LDSM_N, SM90_TMA_STORE, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM90_U32x4_STSM_N, Copy_Atom<SM90_U32x4_STSM_N, half_t>, void>, void, void>>(Params)","1","7","(384, 1, 1)","(1, 132, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.pct","%","1211.16"
"0","762989","python3.11","127.0.0.1","void device_kernel<GemmUniversal<GroupProblemShape<tuple<long, long, long>>, CollectiveMma<MainloopSm90ArrayTmaGmmaWarpSpecialized<12, tuple<C<1>, C<1>, C<1>>, KernelPtrArrayTmaWarpSpecializedCooperative>, tuple<C<128>, C<16>, C<64>>, bfloat16_t, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, TiledMMA<MMA_Atom<MMA_64x16x16_F32BF16BF16_SS<0, 0, 1, 1>>, Layout<tuple<C<2>, C<1>, C<1>>, tuple<C<1>, C<0>, C<0>>>, tuple<Underscore, Underscore, Underscore>>, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity>, CollectiveEpilogue<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, void, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, FusionCallbacks<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, LinearCombination<bfloat16_t, float, void, float, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, >, SM90_TMA_LOAD, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM75_U32x4_LDSM_N, SM90_TMA_STORE, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM90_U32x4_STSM_N, Copy_Atom<SM90_U32x4_STSM_N, half_t>, void>, void, void>>(Params)","1","7","(384, 1, 1)","(1, 132, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio","inst","12.11"
"0","762989","python3.11","127.0.0.1","void device_kernel<GemmUniversal<GroupProblemShape<tuple<long, long, long>>, CollectiveMma<MainloopSm90ArrayTmaGmmaWarpSpecialized<12, tuple<C<1>, C<1>, C<1>>, KernelPtrArrayTmaWarpSpecializedCooperative>, tuple<C<128>, C<16>, C<64>>, bfloat16_t, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, TiledMMA<MMA_Atom<MMA_64x16x16_F32BF16BF16_SS<0, 0, 1, 1>>, Layout<tuple<C<2>, C<1>, C<1>>, tuple<C<1>, C<0>, C<0>>>, tuple<Underscore, Underscore, Underscore>>, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity>, CollectiveEpilogue<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, void, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, FusionCallbacks<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, LinearCombination<bfloat16_t, float, void, float, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, >, SM90_TMA_LOAD, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM75_U32x4_LDSM_N, SM90_TMA_STORE, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM90_U32x4_STSM_N, Copy_Atom<SM90_U32x4_STSM_N, half_t>, void>, void, void>>(Params)","1","7","(384, 1, 1)","(1, 132, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.max_rate","inst","1"
"0","762989","python3.11","127.0.0.1","void device_kernel<GemmUniversal<GroupProblemShape<tuple<long, long, long>>, CollectiveMma<MainloopSm90ArrayTmaGmmaWarpSpecialized<12, tuple<C<1>, C<1>, C<1>>, KernelPtrArrayTmaWarpSpecializedCooperative>, tuple<C<128>, C<16>, C<64>>, bfloat16_t, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, TiledMMA<MMA_Atom<MMA_64x16x16_F32BF16BF16_SS<0, 0, 1, 1>>, Layout<tuple<C<2>, C<1>, C<1>>, tuple<C<1>, C<0>, C<0>>>, tuple<Underscore, Underscore, Underscore>>, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity>, CollectiveEpilogue<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, void, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, FusionCallbacks<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, LinearCombination<bfloat16_t, float, void, float, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, >, SM90_TMA_LOAD, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM75_U32x4_LDSM_N, SM90_TMA_STORE, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM90_U32x4_STSM_N, Copy_Atom<SM90_U32x4_STSM_N, half_t>, void>, void, void>>(Params)","1","7","(384, 1, 1)","(1, 132, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.pct","%","17.54"
"0","762989","python3.11","127.0.0.1","void device_kernel<GemmUniversal<GroupProblemShape<tuple<long, long, long>>, CollectiveMma<MainloopSm90ArrayTmaGmmaWarpSpecialized<12, tuple<C<1>, C<1>, C<1>>, KernelPtrArrayTmaWarpSpecializedCooperative>, tuple<C<128>, C<16>, C<64>>, bfloat16_t, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, TiledMMA<MMA_Atom<MMA_64x16x16_F32BF16BF16_SS<0, 0, 1, 1>>, Layout<tuple<C<2>, C<1>, C<1>>, tuple<C<1>, C<0>, C<0>>>, tuple<Underscore, Underscore, Underscore>>, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity>, CollectiveEpilogue<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, void, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, FusionCallbacks<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, LinearCombination<bfloat16_t, float, void, float, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, >, SM90_TMA_LOAD, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM75_U32x4_LDSM_N, SM90_TMA_STORE, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM90_U32x4_STSM_N, Copy_Atom<SM90_U32x4_STSM_N, half_t>, void>, void, void>>(Params)","1","7","(384, 1, 1)","(1, 132, 1)","0","9.0","Command line profiler metrics","smsp__average_warps_issue_stalled_math_pipe_throttle_per_issue_active.ratio","inst","0.18"
"0","762989","python3.11","127.0.0.1","void device_kernel<GemmUniversal<GroupProblemShape<tuple<long, long, long>>, CollectiveMma<MainloopSm90ArrayTmaGmmaWarpSpecialized<12, tuple<C<1>, C<1>, C<1>>, KernelPtrArrayTmaWarpSpecializedCooperative>, tuple<C<128>, C<16>, C<64>>, bfloat16_t, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, TiledMMA<MMA_Atom<MMA_64x16x16_F32BF16BF16_SS<0, 0, 1, 1>>, Layout<tuple<C<2>, C<1>, C<1>>, tuple<C<1>, C<0>, C<0>>>, tuple<Underscore, Underscore, Underscore>>, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity, SM90_TMA_LOAD, ComposedLayout<Swizzle<3, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<64>>, tuple<C<64>, C<1>>>>, void, identity>, CollectiveEpilogue<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, void, tuple<long, C<1>, C<0>> *, bfloat16_t, tuple<long, C<1>, C<0>> *, FusionCallbacks<Sm90PtrArrayTmaWarpSpecialized<1, 1, 8, 0, 0, 2>, LinearCombination<bfloat16_t, float, void, float, 2>, tuple<C<128>, C<16>, C<64>>, tuple<C<128>, C<16>>, >, SM90_TMA_LOAD, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM75_U32x4_LDSM_N, SM90_TMA_STORE, ComposedLayout<Swizzle<1, 4, 3>, smem_ptr_flag_bits<16>, Layout<tuple<C<8>, C<16>>, tuple<C<16>, C<1>>>>, SM90_U32x4_STSM_N, Copy_Atom<SM90_U32x4_STSM_N, half_t>, void>, void, void>>(Params)","1","7","(384, 1, 1)","(1, 132, 1)","0","9.0","Command line profiler metrics","sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_active","%","7.67"
