Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
61.5,10224630561,79186,129121.7,11506.0,2312,107143904,533462.5,cudaMemcpyAsync
14.1,2349926801,432036,5439.2,4648.0,2754,172332933,265873.9,cudaLaunchKernel
12.0,1997078477,414671,4816.1,4279.0,2806,12822553,34411.6,cudaLaunchKernelExC_v11060
4.6,757361168,148468,5101.2,4836.0,3649,4100157,24041.3,cuLaunchKernelEx
2.9,485168382,19207,25260.0,25856.0,4985,498282,7096.0,cudaStreamSynchronize
1.1,179559371,62,2896118.9,928647.0,20184,26252308,4974728.2,cuLibraryLoadData
0.9,143661501,3,47887167.0,94239.0,24078,143543184,82840548.2,cudaMemGetInfo
0.5,87421277,536435,163.0,117.0,84,78922,188.4,cuTensorMapEncodeTiled
0.5,81872754,4,20468188.5,727533.5,60677,80357010,39930297.1,cuModuleLoadData
0.5,76079142,292861,259.8,174.0,147,59371,265.1,cudaGetDriverEntryPoint_v11030
0.4,58708795,283,207451.6,150824.0,2824,883887,104644.0,cudaMalloc
0.3,47117292,432036,109.1,105.0,48,23658,92.1,cuKernelGetName
0.2,37923196,294898,128.6,111.0,53,32252,155.3,cuKernelGetAttribute
0.1,23042081,48,480043.4,24655.5,485,21667154,3123302.7,cuKernelSetAttribute
0.1,16355101,30681,533.1,565.0,166,14440,245.3,cudaStreamIsCapturing_v10000
0.1,15415446,34,453395.5,5863.5,3239,14027766,2404205.7,cudaHostAlloc
0.1,13948208,2326,5996.7,5810.0,3405,27769,1379.0,cudaMemsetAsync
0.0,7481146,2035,3676.2,3601.0,2850,124068,2745.6,cudaEventSynchronize
0.0,5456877,1014,5381.5,5277.0,1785,36207,1668.0,cudaEventQuery
0.0,4197987,128,32796.8,2085.5,1532,396972,66068.2,cudaStreamCreateWithPriority
0.0,4152676,2037,2038.6,2352.0,967,21681,1164.7,cudaEventRecord
0.0,3301690,13,253976.2,190003.0,24883,543103,155199.4,cudaFree
0.0,2800706,2029,1380.3,1836.0,486,4673,724.1,cudaEventRecordWithFlags_v11010
0.0,2714146,2049,1324.6,1005.0,230,35207,1064.2,cudaEventCreateWithFlags
0.0,2479090,1014,2444.9,2397.5,2204,21141,639.9,cudaStreamWaitEvent
0.0,1877225,1,1877225.0,1877225.0,1877225,1877225,0.0,cudaDeviceSynchronize
0.0,1615355,2027,796.9,856.0,441,19156,447.0,cudaEventDestroy
0.0,330071,1806,182.8,116.0,57,6305,245.4,cuGetProcAddress_v2
0.0,136797,81,1688.9,748.0,240,6290,1995.4,cuLibraryGetKernel
0.0,14419,30,480.6,395.0,369,2720,424.5,cudaOccupancyMaxActiveClusters_v11070
0.0,11440,6,1906.7,1645.0,751,4424,1353.1,cuInit
0.0,2280,1,2280.0,2280.0,2280,2280,0.0,cudaOccupancyAvailableDynamicSMemPerBlock_v10200
0.0,1100,4,275.0,115.0,73,797,349.1,cuModuleGetLoadingMode
