Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
87.4,9331651745,20705,450695.6,441896.0,2127,105595123,947126.2,cudaMemcpyAsync
4.6,486110780,19207,25309.0,25973.0,5625,469859,4670.3,cudaStreamSynchronize
2.4,257665811,6184,41666.5,4801.5,1376,164772789,2108007.5,cudaLaunchKernel
1.3,143488976,12,11957414.7,29041.0,6539,143127711,41307938.7,cudaMemGetInfo
1.3,135917814,57,2384523.1,836222.0,19253,23389372,3980387.0,cuLibraryLoadData
0.8,85272304,603,141413.4,114720.0,36778,5169297,285332.3,cudaGraphInstantiateWithFlags_v11040
0.6,65841070,303,217297.3,151197.0,3514,1339067,141871.4,cudaMalloc
0.5,53436203,11863,4504.4,3385.0,567,12096627,114551.5,cudaLaunchKernelExC_v11060
0.1,15841246,622,25468.2,22285.5,12218,1949121,77526.6,cudaDeviceSynchronize
0.1,14624185,4362,3352.6,4045.0,777,26662,1942.0,cuLaunchKernelEx
0.1,14602997,5842,2499.7,3303.0,562,56174,2076.7,cuLaunchKernel
0.1,14231849,28,508280.3,5553.0,3261,13172361,2487538.7,cudaHostAlloc
0.1,10987074,20167,544.8,512.0,170,17626,228.5,cudaStreamIsCapturing_v10000
0.1,8709942,35,248855.5,185958.0,19016,1134192,216927.9,cudaFree
0.1,5896577,100,58965.8,33563.0,18565,1240156,163112.8,cudaGraphExecDestroy_v10000
0.0,4242518,128,33144.7,2137.5,1552,391012,66529.9,cudaStreamCreateWithPriority
0.0,4043947,603,6706.4,5791.0,2793,274172,14944.3,cudaGraphDestroy_v10000
0.0,3767482,14688,256.5,228.0,162,24828,223.2,cudaStreamGetCaptureInfo_v3_v12030
0.0,2314006,604,3831.1,3407.5,2786,27083,2406.3,cudaStreamBeginCapture_v10000
0.0,2236819,8718,256.6,170.0,148,2221,202.5,cudaGetDriverEntryPoint_v11030
0.0,1752217,9678,181.1,114.0,84,2148,160.2,cuTensorMapEncodeTiled
0.0,1519298,48,31652.0,24997.0,472,202318,38153.3,cuKernelSetAttribute
0.0,1217546,1,1217546.0,1217546.0,1217546,1217546,0.0,cuModuleLoadData
0.0,1167970,603,1936.9,1729.0,1224,82205,3686.5,cudaStreamEndCapture_v10000
0.0,1104218,8720,126.6,113.0,54,18357,201.6,cuKernelGetAttribute
0.0,1092176,9,121352.9,124716.0,60927,230433,55339.5,cuModuleLoad
0.0,935549,6184,151.3,136.0,55,18567,244.3,cuKernelGetName
0.0,475419,603,788.4,747.0,669,17934,715.6,cudaGraphGetNodes_v10000
0.0,474189,101,4694.9,4465.0,3315,14876,1486.3,cudaMemsetAsync
0.0,329068,1806,182.2,117.0,61,6178,220.7,cuGetProcAddress_v2
0.0,166970,30,5565.7,6019.0,3992,7681,1163.0,cudaEventSynchronize
0.0,108354,71,1526.1,650.0,182,6979,1939.7,cuLibraryGetKernel
0.0,84965,31,2740.8,2191.0,2037,15815,2443.8,cudaEventRecord
0.0,44067,21,2098.4,429.0,282,12711,3866.4,cudaEventCreateWithFlags
0.0,19688,2,9844.0,9844.0,9757,9931,123.0,cudaEventRecordWithFlags_v11010
0.0,14473,2,7236.5,7236.5,7031,7442,290.6,cudaStreamWaitEvent
0.0,13060,30,435.3,351.0,342,2455,383.2,cudaOccupancyMaxActiveClusters_v11070
0.0,12481,6,2080.2,1975.5,696,4457,1425.8,cuInit
0.0,5873,12,489.4,336.0,227,1160,332.7,cudaThreadExchangeStreamCaptureMode_v10010
0.0,3981,2,1990.5,1990.5,1967,2014,33.2,cudaEventDestroy
0.0,2530,1,2530.0,2530.0,2530,2530,0.0,cudaOccupancyAvailableDynamicSMemPerBlock_v10200
0.0,1344,4,336.0,143.5,86,971,424.3,cuModuleGetLoadingMode
