Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
63.7,10166400916,78433,129618.9,11916.0,2220,106494976,534404.8,cudaMemcpyAsync
16.9,2697325775,523613,5151.4,4475.0,2430,171994810,240537.5,cudaLaunchKernel
6.6,1047312876,219216,4777.5,4510.0,2324,12377681,27696.9,cudaLaunchKernelExC_v11060
4.3,692923773,146607,4726.4,4574.0,2865,851113,5268.2,cuLaunchKernelEx
4.0,641911689,19459,32987.9,25782.0,2490,2948907,97702.2,cudaStreamSynchronize
1.1,176516558,56,3152081.4,1241255.5,19204,23751563,4639160.0,cuLibraryLoadData
0.9,141559080,3,47186360.0,85423.0,23832,141449825,81634561.1,cudaMemGetInfo
0.7,108578340,36,3016065.0,26319.0,527,107259434,17870405.9,cuKernelSetAttribute
0.4,58427829,284,205731.8,151575.0,3091,670655,100683.9,cudaMalloc
0.3,48786822,244313,199.7,112.0,86,27592,239.5,cuTensorMapEncodeTiled
0.3,47516888,426948,111.3,106.0,47,29032,128.8,cuKernelGetName
0.2,36279188,291202,124.6,114.0,53,28127,175.0,cuKernelGetAttribute
0.1,17039282,2010,8477.3,3732.0,2956,9531859,212526.1,cudaEventSynchronize
0.1,16268397,30796,528.3,567.0,167,20044,302.0,cudaStreamIsCapturing_v10000
0.1,15405931,2864,5379.2,4992.0,1887,134776,3123.6,cudaMemsetAsync
0.1,14175313,33,429554.9,6139.0,3140,12941921,2251429.8,cudaHostAlloc
0.0,7225511,13,555808.5,349711.0,23098,1853978,602632.3,cudaFree
0.0,5962939,1254,4755.1,5308.0,1525,35535,2226.5,cudaEventQuery
0.0,4338359,128,33893.4,2195.0,1513,402905,67114.5,cudaStreamCreateWithPriority
0.0,4170495,2012,2072.8,2263.0,985,16408,996.7,cudaEventRecord
0.0,3415298,2255,1514.5,1988.0,528,6463,742.5,cudaEventRecordWithFlags_v11010
0.0,2820108,2275,1239.6,700.0,209,12375,763.0,cudaEventCreateWithFlags
0.0,2487870,1001,2485.4,2443.0,2265,5095,169.0,cudaStreamWaitEvent
0.0,1877828,1,1877828.0,1877828.0,1877828,1877828,0.0,cudaDeviceSynchronize
0.0,1740062,2253,772.3,766.0,223,20718,475.4,cudaEventDestroy
0.0,1503024,4,375756.0,98273.5,60404,1246073,580540.0,cuModuleLoadData
0.0,764050,4038,189.2,171.0,149,2330,90.6,cudaGetDriverEntryPoint_v11030
0.0,333275,1806,184.5,115.5,60,6425,227.5,cuGetProcAddress_v2
0.0,131424,77,1706.8,855.0,223,6527,1916.1,cuLibraryGetKernel
0.0,13604,30,453.5,357.0,345,2891,461.9,cudaOccupancyMaxActiveClusters_v11070
0.0,10804,6,1800.7,1669.5,598,4033,1238.8,cuInit
0.0,2989,1,2989.0,2989.0,2989,2989,0.0,cudaOccupancyAvailableDynamicSMemPerBlock_v10200
0.0,987,4,246.8,106.5,64,710,310.2,cuModuleGetLoadingMode
0.0,269,1,269.0,269.0,269,269,0.0,cuKernelGetFunction
