Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.1,10414705400,20599,505592.8,527184.0,2268,108083513,1043329.8,cudaMemcpyAsync
21.1,3041151562,20971,145017.0,26071.0,2458,23267825,662799.1,cudaStreamSynchronize
1.9,279743300,9262,30203.3,4371.0,973,165447675,1732230.7,cudaLaunchKernel
1.1,153698070,12,12808172.5,30683.5,6125,152086470,43862288.0,cudaMemGetInfo
1.0,149108224,58,2570831.4,905162.0,21030,25001789,4216208.0,cuLibraryLoadData
0.8,113566590,26898,4222.1,3659.5,652,12554444,78911.1,cudaLaunchKernelExC_v11060
0.6,83477423,541,154302.1,113886.0,39842,5468498,317056.3,cudaGraphInstantiateWithFlags_v11040
0.5,66013480,310,212946.7,152190.0,3965,1016865,130521.2,cudaMalloc
0.1,15243756,4389,3473.2,2867.0,1034,56768,2012.3,cudaMemsetAsync
0.1,14317186,4050,3535.1,4222.0,810,28017,1997.5,cuLaunchKernelEx
0.1,14252857,5424,2627.7,3391.0,579,68092,2342.6,cuLaunchKernel
0.1,14130328,28,504654.6,5173.0,3204,13018090,2458909.3,cudaHostAlloc
0.1,13929395,558,24963.1,20711.0,12494,1939034,81515.6,cudaDeviceSynchronize
0.1,12388411,42,294962.2,178083.0,18534,1694192,312725.5,cudaFree
0.1,12274990,21901,560.5,554.0,170,22624,255.9,cudaStreamIsCapturing_v10000
0.0,6511937,30674,212.3,175.0,149,6209,139.2,cudaGetDriverEntryPoint_v11030
0.0,6045064,100,60450.6,33824.5,17432,1267125,163403.6,cudaGraphExecDestroy_v10000
0.0,4212103,128,32907.1,2292.0,1532,390414,65804.8,cudaStreamCreateWithPriority
0.0,4111147,31634,130.0,102.0,85,2443,106.4,cuTensorMapEncodeTiled
0.0,4035350,541,7459.1,6565.0,3422,291560,16471.3,cudaGraphDestroy_v10000
0.0,4021596,1766,2277.2,2200.0,1678,11612,529.3,cudaEventRecordWithFlags_v11010
0.0,3492879,13405,260.6,234.0,166,1664,82.0,cudaStreamGetCaptureInfo_v3_v12030
0.0,3064313,1764,1737.1,1703.0,1503,11461,328.6,cudaEventQuery
0.0,2199249,541,4065.2,3477.0,2817,29765,2978.5,cudaStreamBeginCapture_v10000
0.0,1569400,48,32695.8,25499.5,498,214191,39795.9,cuKernelSetAttribute
0.0,1239022,1,1239022.0,1239022.0,1239022,1239022,0.0,cuModuleLoadData
0.0,1179640,8096,145.7,117.0,53,980,71.3,cuKernelGetAttribute
0.0,1126432,9,125159.1,129477.0,62389,235754,56698.7,cuModuleLoad
0.0,1095289,1766,620.2,313.0,227,428509,10190.1,cudaEventDestroy
0.0,1077428,1785,603.6,543.0,298,11732,440.5,cudaEventCreateWithFlags
0.0,1073294,541,1983.9,1753.0,1252,79793,3770.8,cudaStreamEndCapture_v10000
0.0,992381,5798,171.2,156.0,54,1957,88.7,cuKernelGetName
0.0,405164,541,748.9,735.0,619,3006,152.6,cudaGraphGetNodes_v10000
0.0,340124,1806,188.3,116.0,60,6969,270.1,cuGetProcAddress_v2
0.0,173391,28,6192.5,6405.0,4223,10443,1512.0,cudaEventSynchronize
0.0,113857,72,1581.3,696.0,203,6768,1971.2,cuLibraryGetKernel
0.0,88359,29,3046.9,2327.0,2147,16027,2645.3,cudaEventRecord
0.0,15544,2,7772.0,7772.0,7601,7943,241.8,cudaStreamWaitEvent
0.0,13271,30,442.4,357.5,336,2629,414.8,cudaOccupancyMaxActiveClusters_v11070
0.0,11148,6,1858.0,1657.0,567,4223,1344.4,cuInit
0.0,6040,12,503.3,361.0,235,1118,306.8,cudaThreadExchangeStreamCaptureMode_v10010
0.0,2607,1,2607.0,2607.0,2607,2607,0.0,cudaOccupancyAvailableDynamicSMemPerBlock_v10200
0.0,1039,4,259.8,181.0,87,590,225.1,cuModuleGetLoadingMode
0.0,391,1,391.0,391.0,391,391,0.0,cuKernelGetFunction
