source,experiment,run_id,notes,moe_runner_backend,attention_backend,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,cuda_graph_on,speedup_R_conc,speedup_geomean_all_regimes,n_regimes_measured,R_short_decode__speedup,R_short_decode__req_per_s,R_short_decode__tokens_per_s,R_short_decode__MFU_simple_pct,R_short_decode__MFU_amortized_pct,R_short_decode__MBU_pct,R_medium_balanced__speedup,R_medium_balanced__req_per_s,R_medium_balanced__tokens_per_s,R_medium_balanced__MFU_simple_pct,R_medium_balanced__MFU_amortized_pct,R_medium_balanced__MBU_pct,R_concurrent_decode__speedup,R_concurrent_decode__req_per_s,R_concurrent_decode__tokens_per_s,R_concurrent_decode__MFU_simple_pct,R_concurrent_decode__MFU_amortized_pct,R_concurrent_decode__MBU_pct,R_long_prefill__speedup,R_long_prefill__req_per_s,R_long_prefill__tokens_per_s,R_long_prefill__MFU_simple_pct,R_long_prefill__MFU_amortized_pct,R_long_prefill__MBU_pct,R_prompt_8k_c4_out128__speedup,R_prompt_8k_c4_out128__req_per_s,R_prompt_8k_c4_out128__tokens_per_s,R_prompt_8k_c4_out128__MFU_simple_pct,R_prompt_8k_c4_out128__MFU_amortized_pct,R_prompt_8k_c4_out128__MBU_pct,R_prompt_16k_c2_out128__speedup,R_prompt_16k_c2_out128__req_per_s,R_prompt_16k_c2_out128__tokens_per_s,R_prompt_16k_c2_out128__MFU_simple_pct,R_prompt_16k_c2_out128__MFU_amortized_pct,R_prompt_16k_c2_out128__MBU_pct,R_prompt_32k_c1_out128__speedup,R_prompt_32k_c1_out128__req_per_s,R_prompt_32k_c1_out128__tokens_per_s,R_prompt_32k_c1_out128__MFU_simple_pct,R_prompt_32k_c1_out128__MFU_amortized_pct,R_prompt_32k_c1_out128__MBU_pct,R_prompt_50k_c1_out64__speedup,R_prompt_50k_c1_out64__req_per_s,R_prompt_50k_c1_out64__tokens_per_s,R_prompt_50k_c1_out64__MFU_simple_pct,R_prompt_50k_c1_out64__MFU_amortized_pct,R_prompt_50k_c1_out64__MBU_pct,spec_hash
v3,optuna,v3-trial-0019,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,1.004,1.274,8,0.989,1.6852,431.4,0.14,0.211,28.76,0.999,7.3072,1870.6,0.605,3.095,15.589,1.004,23.8966,6117.5,1.979,4.005,12.745,1.088,14.7696,472.6,0.153,26.007,7.877,1.359,7.2281,925.2,0.299,26.613,15.42,1.528,4.1228,527.7,0.171,32.405,17.591,1.432,2.338,299.3,0.097,41.683,19.951,2.166,2.7618,176.8,0.057,87.195,11.784,sha256:7ebb69cdb
v2,baseline-revalidation,v2-cookbook-run2,v2 explicit 3-lifetime baseline; run 2/3,auto,auto,32,-1,lpm,0.85,on,1.002,0.997,4,0.991,1.688,432.1,0.14,0.211,28.808,0.997,7.2875,1865.6,0.604,3.086,15.547,1.002,23.8496,6105.5,1.975,3.998,12.72,0.997,13.5261,432.8,0.14,23.818,7.214,,,,,,,,,,,,,,,,,,,,,,,,,sha256:2a67d5612
v3,optuna,v3-trial-0028,v3 Optuna tpe trial,auto,fa3,64,8192,fcfs,0.75,on,1.001,1.305,8,0.991,1.6894,432.5,0.14,0.212,28.833,1.001,7.3157,1872.8,0.606,3.098,15.607,1.001,23.8114,6095.7,1.972,3.991,12.699,1.219,16.5439,529.4,0.171,29.132,8.823,1.369,7.2844,932.4,0.302,26.82,15.54,1.514,4.0833,522.7,0.169,32.094,17.422,1.495,2.442,312.6,0.101,43.536,20.838,2.24,2.8554,182.7,0.059,90.15,12.183,sha256:f9e0c7050
v3,baseline,v3-baseline-cookbook,v3 baseline; 1 lifetime x 3 runs,auto,auto,32,-1,lpm,0.85,on,1.0,1.0,8,1.0,1.7041,436.2,0.141,0.213,29.083,1.0,7.311,1871.6,0.606,3.096,15.597,1.0,23.7991,6092.6,1.971,3.989,12.693,1.0,13.572,434.3,0.141,23.899,7.238,1.0,5.3204,681.0,0.22,19.589,11.35,1.0,2.6978,345.3,0.112,21.204,11.51,1.0,1.633,209.0,0.068,29.114,13.935,1.0,1.275,81.6,0.026,40.254,5.44,sha256:727d3f2cc
v3,optuna,v3-trial-0015,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,1.0,1.303,8,0.991,1.6882,432.2,0.14,0.211,28.812,1.001,7.3218,1874.4,0.606,3.101,15.62,1.0,23.7933,6091.1,1.971,3.988,12.69,1.198,16.2592,520.3,0.168,28.631,8.672,1.381,7.3497,940.8,0.304,27.061,15.679,1.535,4.1407,530.0,0.171,32.545,17.667,1.475,2.4094,308.4,0.1,42.956,20.56,2.229,2.8422,181.9,0.059,89.732,12.127,sha256:854fe1cd4
v3,optuna,v3-trial-0023,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,0.999,1.3,8,0.991,1.6888,432.3,0.14,0.212,28.822,0.999,7.3064,1870.4,0.605,3.094,15.587,0.999,23.7715,6085.5,1.969,3.985,12.678,1.172,15.9113,509.2,0.165,28.018,8.486,1.352,7.1952,921.0,0.298,26.492,15.35,1.564,4.2204,540.2,0.175,33.172,18.007,1.488,2.4296,311.0,0.101,43.316,20.733,2.231,2.8446,182.1,0.059,89.807,12.137,sha256:d0fe7dbfe
v3,baseline,v3-baseline-true-default,v3 baseline; 1 lifetime x 3 runs,auto,auto,32,-1,lpm,0.85,on,0.998,1.003,8,0.99,1.6864,431.7,0.14,0.211,28.781,1.002,7.3271,1875.7,0.607,3.103,15.631,0.998,23.7467,6079.1,1.967,3.98,12.665,1.006,13.6594,437.1,0.141,24.053,7.285,1.002,5.3286,682.1,0.221,19.619,11.368,1.004,2.7096,346.8,0.112,21.297,11.561,1.001,1.6341,209.2,0.068,29.133,13.944,1.019,1.2998,83.2,0.027,41.037,5.546,sha256:b111f3ead
v3,optuna,v3-trial-0001,v3 Optuna warm-start trial,triton,fa3,32,-1,lpm,0.9,on,0.998,0.996,8,0.992,1.6904,432.7,0.14,0.212,28.849,1.0,7.308,1870.9,0.605,3.095,15.59,0.998,23.7453,6078.8,1.967,3.98,12.664,0.989,13.4176,429.4,0.139,23.627,7.156,0.994,5.2859,676.6,0.219,19.462,11.277,0.994,2.6817,343.3,0.111,21.078,11.442,1.002,1.6363,209.4,0.068,29.172,13.963,0.999,1.2732,81.5,0.026,40.197,5.432,sha256:3479412ca
v3,optuna,v3-trial-0004,v3 Optuna tpe trial,auto,fa3,32,-1,fcfs,0.9,on,0.998,0.997,8,0.99,1.6874,432.0,0.14,0.211,28.799,0.999,7.3017,1869.2,0.605,3.092,15.577,0.998,23.7529,6080.7,1.967,3.981,12.668,0.987,13.3987,428.8,0.139,23.594,7.146,1.002,5.3336,682.7,0.221,19.638,11.378,1.004,2.7094,346.8,0.112,21.295,11.56,1.0,1.6336,209.1,0.068,29.124,13.94,0.998,1.2729,81.5,0.026,40.186,5.431,sha256:01ea5db0f
v3,optuna,v3-trial-0006,v3 Optuna tpe trial,triton,fa3,64,-1,lpm,0.9,on,0.998,1.004,8,0.993,1.6921,433.2,0.14,0.212,28.878,1.001,7.3189,1873.6,0.606,3.1,15.614,0.998,23.7443,6078.5,1.967,3.98,12.664,0.994,13.4869,431.6,0.14,23.749,7.193,1.002,5.3326,682.6,0.221,19.634,11.376,1.008,2.7191,348.1,0.113,21.372,11.602,1.012,1.653,211.6,0.068,29.47,14.105,1.025,1.3064,83.6,0.027,41.245,5.574,sha256:1c465a8e4
