source,experiment,run_id,notes,moe_runner_backend,attention_backend,max_running_requests,chunked_prefill_size,schedule_policy,mem_fraction_static,cuda_graph_on,speedup_R_conc,speedup_geomean_all_regimes,n_regimes_measured,R_short_decode__speedup,R_short_decode__req_per_s,R_short_decode__tokens_per_s,R_short_decode__MFU_simple_pct,R_medium_balanced__speedup,R_medium_balanced__req_per_s,R_medium_balanced__tokens_per_s,R_medium_balanced__MFU_simple_pct,R_concurrent_decode__speedup,R_concurrent_decode__req_per_s,R_concurrent_decode__tokens_per_s,R_concurrent_decode__MFU_simple_pct,R_long_prefill__speedup,R_long_prefill__req_per_s,R_long_prefill__tokens_per_s,R_long_prefill__MFU_simple_pct,R_prompt_8k_c4_out128__speedup,R_prompt_8k_c4_out128__req_per_s,R_prompt_8k_c4_out128__tokens_per_s,R_prompt_8k_c4_out128__MFU_simple_pct,R_prompt_16k_c2_out128__speedup,R_prompt_16k_c2_out128__req_per_s,R_prompt_16k_c2_out128__tokens_per_s,R_prompt_16k_c2_out128__MFU_simple_pct,R_prompt_32k_c1_out128__speedup,R_prompt_32k_c1_out128__req_per_s,R_prompt_32k_c1_out128__tokens_per_s,R_prompt_32k_c1_out128__MFU_simple_pct,R_prompt_50k_c1_out64__speedup,R_prompt_50k_c1_out64__req_per_s,R_prompt_50k_c1_out64__tokens_per_s,R_prompt_50k_c1_out64__MFU_simple_pct,spec_hash
v3,optuna,v3-trial-0029,v3 Optuna tpe trial,auto,fa3,64,2048,fcfs,0.85,on,0.973,1.372,8,0.993,1.6916,433.0,0.14,1.011,7.3913,1892.2,0.612,0.973,23.1537,5927.4,1.918,1.487,20.1849,645.9,0.209,1.459,7.7648,993.9,0.322,1.695,4.5716,585.2,0.189,1.46,2.3847,305.2,0.099,2.394,3.0522,195.3,0.063,sha256:fae7b9fd8
v3,optuna,v3-trial-0005,v3 Optuna tpe trial,triton,fa3,64,2048,fcfs,0.9,on,0.971,1.341,8,0.992,1.6898,432.6,0.14,0.929,6.7923,1738.8,0.563,0.971,23.1118,5916.6,1.914,1.5,20.3567,651.4,0.211,1.432,7.6186,975.2,0.316,1.652,4.4555,570.3,0.185,1.422,2.3222,297.2,0.096,2.32,2.9584,189.3,0.061,sha256:52fe71b9c
v3,optuna,v3-trial-0016,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,0.998,1.309,8,0.992,1.69,432.7,0.14,1.004,7.3377,1878.5,0.608,0.998,23.7538,6081.0,1.968,1.216,16.4987,528.0,0.171,1.361,7.24,926.7,0.3,1.597,4.3077,551.4,0.178,1.478,2.4136,308.9,0.1,2.229,2.8421,181.9,0.059,sha256:03bcded3a
v3,optuna,v3-trial-0024,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,0.996,1.308,8,0.991,1.6892,432.4,0.14,1.004,7.3413,1879.4,0.608,0.996,23.7061,6068.8,1.964,1.22,16.5552,529.8,0.171,1.373,7.304,934.9,0.303,1.534,4.1377,529.6,0.171,1.493,2.4381,312.1,0.101,2.26,2.8812,184.4,0.06,sha256:51fbde1f1
v3,optuna,v3-trial-0028,v3 Optuna tpe trial,auto,fa3,64,8192,fcfs,0.75,on,1.001,1.305,8,0.991,1.6894,432.5,0.14,1.001,7.3157,1872.8,0.606,1.001,23.8114,6095.7,1.972,1.219,16.5439,529.4,0.171,1.369,7.2844,932.4,0.302,1.514,4.0833,522.7,0.169,1.495,2.442,312.6,0.101,2.24,2.8554,182.7,0.059,sha256:f9e0c7050
v3,optuna,v3-trial-0015,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,1.0,1.303,8,0.991,1.6882,432.2,0.14,1.001,7.3218,1874.4,0.606,1.0,23.7933,6091.1,1.971,1.198,16.2592,520.3,0.168,1.381,7.3497,940.8,0.304,1.535,4.1407,530.0,0.171,1.475,2.4094,308.4,0.1,2.229,2.8422,181.9,0.059,sha256:854fe1cd4
v3,optuna,v3-trial-0023,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,0.999,1.3,8,0.991,1.6888,432.3,0.14,0.999,7.3064,1870.4,0.605,0.999,23.7715,6085.5,1.969,1.172,15.9113,509.2,0.165,1.352,7.1952,921.0,0.298,1.564,4.2204,540.2,0.175,1.488,2.4296,311.0,0.101,2.231,2.8446,182.1,0.059,sha256:d0fe7dbfe
v3,optuna,v3-trial-0022,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,0.998,1.284,8,0.996,1.6977,434.6,0.141,1.0,7.31,1871.3,0.605,0.998,23.7434,6078.3,1.967,1.051,14.268,456.6,0.148,1.342,7.141,914.0,0.296,1.564,4.2181,539.9,0.175,1.49,2.4327,311.4,0.101,2.255,2.8757,184.0,0.06,sha256:cc5e0f0af
v3,optuna,v3-trial-0020,v3 Optuna tpe trial,auto,fa3,32,8192,fcfs,0.75,on,0.996,1.282,8,0.991,1.6887,432.3,0.14,0.999,7.3056,1870.2,0.605,0.996,23.7044,6068.3,1.963,1.177,15.9776,511.3,0.165,1.337,7.1126,910.4,0.295,1.5,4.0455,517.8,0.168,1.428,2.3325,298.6,0.097,2.192,2.7944,178.8,0.058,sha256:cf9abce1e
v3,optuna,v3-trial-0007,v3 Optuna tpe trial,auto,fa3,32,8192,lpm,0.75,on,0.998,1.281,8,0.991,1.6886,432.3,0.14,0.997,7.2904,1866.3,0.604,0.998,23.7438,6078.4,1.967,1.194,16.2034,518.5,0.168,1.356,7.2165,923.7,0.299,1.498,4.0414,517.3,0.167,1.402,2.2892,293.0,0.095,2.163,2.7574,176.5,0.057,sha256:2285f5dcb
