model,config,config_flags,regime,prompt_words,out_tok,concurrency,req_per_s,tokens_per_s,MFU_simple_pct,MFU_amortized_pct,MBU_pct,HBM_BW_peak_pct,VRAM_peak_GB,decode_step_ms_at_this_batch,gen_throughput_at_this_batch,reliable
qwen3-30b-a3b-bf16,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_decode_c1_out2k,100,2048,1,0.113,231.4,0.22,0.245,45.311,69.0,120.0,0.81,1234.2,True
qwen3-30b-a3b-bf16,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_conc_ref,200,256,32,13.4133,3433.8,3.264,6.649,21.014,69.0,120.0,8.306,3852.8,False
qwen3-30b-a3b-bf16,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_decode_c32_out1k,200,1024,32,3.6238,3710.7,3.527,4.541,22.709,69.0,120.0,8.306,3852.8,True
qwen3-30b-a3b-bf16,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_decode_c64_out512,200,512,64,7.4104,3794.1,3.606,5.525,11.61,69.0,120.0,,,True
qwen3-30b-a3b-bf16,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_decode_c128_out256,200,256,128,14.884,3810.3,3.622,7.378,5.83,69.0,120.0,,,True
qwen3-30b-a3b-bf16,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_decode_c1_out2k,100,2048,1,0.113,231.4,0.22,0.245,45.322,69.0,106.1,0.801,1247.9,True
qwen3-30b-a3b-bf16,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_conc_ref,200,256,32,14.4209,3691.8,3.509,7.149,22.593,69.0,106.1,8.299,3856.0,True
qwen3-30b-a3b-bf16,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_decode_c32_out1k,200,1024,32,3.626,3713.0,3.529,4.544,22.723,69.0,106.1,8.299,3856.0,True
qwen3-30b-a3b-bf16,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_decode_c64_out512,200,512,64,7.4238,3801.0,3.613,5.535,11.631,69.0,106.1,,,True
qwen3-30b-a3b-bf16,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_decode_c128_out256,200,256,128,14.9134,3817.8,3.629,7.393,5.841,69.0,106.1,,,True
qwen3-30b-a3b-bf16,big_batch_cap128,cap=128 chunk=2048 fcfs mem=0.90,R_decode_c1_out2k,100,2048,1,0.113,231.4,0.22,0.245,45.312,69.0,126.6,0.166,6006.0,True
qwen3-30b-a3b-bf16,big_batch_cap128,cap=128 chunk=2048 fcfs mem=0.90,R_conc_ref,200,256,32,14.536,3721.2,3.537,7.206,22.773,69.0,126.6,8.366,3824.9,True
qwen3-30b-a3b-bf16,big_batch_cap128,cap=128 chunk=2048 fcfs mem=0.90,R_decode_c32_out1k,200,1024,32,3.6224,3709.3,3.526,4.539,22.7,69.0,126.6,8.366,3824.9,True
qwen3-30b-a3b-bf16,big_batch_cap128,cap=128 chunk=2048 fcfs mem=0.90,R_decode_c64_out512,200,512,64,11.6627,5971.3,5.675,8.696,18.272,69.0,126.6,10.397,6155.8,True
qwen3-30b-a3b-bf16,big_batch_cap128,cap=128 chunk=2048 fcfs mem=0.90,R_decode_c128_out256,200,256,128,36.3628,9308.9,8.848,18.026,14.242,69.0,126.6,12.494,10245.3,True
qwen3-30b-a3b-fp8,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_decode_c1_out2k,100,2048,1,0.1134,232.2,0.11,0.123,22.735,54.0,120.0,0.836,1196.8,True
qwen3-30b-a3b-fp8,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_conc_ref,200,256,32,17.8501,4569.6,2.172,4.424,13.983,54.0,120.0,6.434,4973.6,True
qwen3-30b-a3b-fp8,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_decode_c32_out1k,200,1024,32,4.5867,4696.8,2.232,2.874,14.372,54.0,120.0,6.434,4973.6,True
qwen3-30b-a3b-fp8,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_decode_c64_out512,200,512,64,9.4284,4827.3,2.294,3.515,7.386,54.0,120.0,,,True
qwen3-30b-a3b-fp8,cookbook_baseline,cap=32 chunk=-1 lpm mem=0.85,R_decode_c128_out256,200,256,128,18.6814,4782.4,2.273,4.63,3.658,54.0,120.0,,,True
qwen3-30b-a3b-fp8,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_decode_c1_out2k,100,2048,1,0.1132,231.9,0.11,0.123,22.704,53.0,106.1,0.844,1185.5,True
qwen3-30b-a3b-fp8,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_conc_ref,200,256,32,18.0696,4625.8,2.198,4.479,14.155,53.0,106.1,6.43,4976.5,True
qwen3-30b-a3b-fp8,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_decode_c32_out1k,200,1024,32,4.5893,4699.5,2.233,2.876,14.38,53.0,106.1,6.43,4976.5,True
qwen3-30b-a3b-fp8,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_decode_c64_out512,200,512,64,9.4488,4837.8,2.299,3.523,7.402,53.0,106.1,,,True
qwen3-30b-a3b-fp8,v3_best_chunk8k,cap=32 chunk=8192 fcfs mem=0.75,R_decode_c128_out256,200,256,128,18.704,4788.2,2.275,4.636,3.663,53.0,106.1,,,True
