model,config,regime,bench_tokens_per_s,bench_req_per_s,kernel_rank,kernel_short,kernel_full_name,count,total_ms,mean_us,share_of_top5_pct
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c1_out2k,443.6,0.217,1,fused_moe_kernel,fused_moe_kernel,4356,78.99,18.13,53.9
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c1_out2k,443.6,0.217,2,nvjet_gemm_64x8_64x16,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4704,32.75,6.96,22.4
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c1_out2k,443.6,0.217,3,nvjet_gemm_256x8_64x6,nvjet_tst_256x8_64x6_2x1_v_bz_TNT,99,12.14,122.59,8.3
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c1_out2k,443.6,0.217,4,flashinfer_RMSNorm,"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat1",6039,11.75,1.95,8.0
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c1_out2k,443.6,0.217,5,nvjet_gemm_64x8_64x16,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,2156,10.88,5.05,7.4
lfm2.5-8b-a1b,cookbook_baseline,R_conc_ref,5717.4,22.334,1,fused_moe_kernel,fused_moe_kernel,4356,320.75,73.64,84.2
lfm2.5-8b-a1b,cookbook_baseline,R_conc_ref,5717.4,22.334,2,nvjet_gemm_64x16_64x16,nvjet_tst_64x16_64x16_4x2_v_bz_TNT,2820,16.86,5.98,4.4
lfm2.5-8b-a1b,cookbook_baseline,R_conc_ref,5717.4,22.334,3,nvjet_gemm_64x32_64x16,nvjet_tst_64x32_64x16_4x1_v_bz_TNT,1692,16.12,9.53,4.2
lfm2.5-8b-a1b,cookbook_baseline,R_conc_ref,5717.4,22.334,4,flashinfer_RMSNorm,"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat1",6039,14.79,2.45,3.9
lfm2.5-8b-a1b,cookbook_baseline,R_conc_ref,5717.4,22.334,5,nvjet_gemm_512x32_64x3,nvjet_tst_512x32_64x3_2x1_v_bz_TNT,94,12.46,132.52,3.3
