model,batch_size,kernel_group,kernel_name,n_launches_profiled,dram_throughput_pct_median,memory_throughput_pct_median,sm_compute_throughput_pct_median,l1_cache_throughput_pct_median,l2_cache_throughput_pct_median,duration_ns_median,elapsed_cycles_median,achieved_occupancy_pct_median,sm_active_cycles_median
qwen3-0.6b,1,flash_attn,"void flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, 0",2,11.4,545471554028.255,30.645,5.44,17.755,6128.0,12016.5,35.24,8263.19
qwen3-0.6b,1,flash_attn,"void flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, 0, 0, bfl",3,4.08,195970802919.71,9.66,24.55,15.39,8768.0,16386.0,6.23,9851.94
qwen3-0.6b,1,gemm,nvjet_tst_64x104_64x10_4x2_v_bz_TNT,1,20.47,977227906976.74,19.01,34.2,29.8,6880.0,12407.0,14.01,6104.11
qwen3-0.6b,1,gemm,nvjet_tst_64x40_64x16_4x2_h_bz_TNT,3,8.39,400852791878.17,9.12,24.97,19.61,6304.0,11537.0,14.33,5284.36
qwen3-0.6b,1,gemm,nvjet_tst_64x72_64x12_4x1_v_bz_TNT,1,15.24,729898989898.99,15.04,31.89,28.64,6336.0,11521.0,14.16,5299.49
qwen3-0.6b,32,flash_attn,"void flash_fwd_kernel<Flash_fwd_kernel_traits<128, 128, 64, 4, 0, 0, bfloat16_t,",5,22.36,1075248201438.85,30.12,38.86,42.21,71424.0,128188.0,12.04,110944.45
qwen3-0.6b,32,gemm,nvjet_tst_128x160_64x5_2x1_v_bz_TNT,1,14.05,675242105263.16,83.18,67.24,57.63,36480.0,61711.0,14.52,56657.78
qwen3-0.6b,32,gemm,nvjet_tst_128x224_64x4_2x1_v_bz_coopA_TNT,3,14.16,681001360544.22,61.15,53.61,41.47,23744.0,43193.0,14.4,33016.8
qwen3-0.6b,32,gemm,nvjet_tst_192x160_64x4_2x1_v_bz_coopB_TNT,1,14.02,674209650582.36,77.88,79.54,50.72,57696.0,98765.0,14.67,92462.65
qwen3-0.6b,128,flash_attn,"void flash_fwd_kernel<Flash_fwd_kernel_traits<128, 128, 64, 4, 0, 0, bfloat16_t,",5,29.69,1428532775796.33,33.27,38.91,50.13,260192.0,463092.0,12.3,443303.52
qwen3-0.6b,128,gemm,nvjet_tst_128x160_64x5_2x1_v_bz_TNT,3,26.97,1297530371713.51,88.76,70.48,59.22,70592.0,113851.0,14.67,106176.67
