model,config,regime,batch_size,prompt_words,output_tokens,stage,kernel_short,kernel_full,ncu_data_source,sm_throughput_pct,dram_throughput_pct,tensor_pipe_active_pct,warps_active_pct,l1_hit_pct,l2_hit_pct,stall_long_scoreboard_avg,stall_math_pipe_throttle_avg,verdict,headroom_estimate_pct,duration_ns_median
lfm2.5-8b-a1b,cookbook_baseline,R_conc_ref,32,200,256,decode,RMSNorm,"void norm::RMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsig",v6-jul-8-basic-sections,1.98,0.71,,10.85,,,,,,,3.94
lfm2.5-8b-a1b,cookbook_baseline,R_conc_ref,32,200,256,decode,act_and_mul,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 ",v6-jul-8-basic-sections,3.67,5.06,,40.3,,,,,,,3.85
lfm2.5-8b-a1b,cookbook_baseline,R_conc_ref,32,200,256,decode,causal_conv1d_update,"void causal_conv1d_update_kernel<Causal_conv1d_update_kernel_traits<64, 3, c10::",v6-jul-8-basic-sections,6.17,1.75,,21.97,,,,,,,4.96
lfm2.5-8b-a1b,cookbook_baseline,R_conc_ref,32,200,256,decode,nvjet_gemm_128x32_64x10,nvjet_tst_128x32_64x10_4x1_v_bz_TNT,v6-jul-8-basic-sections,9.73,65.75,,14.09,,,,,,,19.57
lfm2.5-8b-a1b,cookbook_baseline,R_conc_ref,32,200,256,decode,nvjet_gemm_64x16_64x16,nvjet_tst_64x16_64x16_4x2_v_bz_TNT,v6-jul-8-basic-sections,7.66,24.67,,14.29,,,,,,,8.37
lfm2.5-8b-a1b,cookbook_baseline,R_conc_ref,32,200,256,decode,nvjet_gemm_64x32_64x16,nvjet_tst_64x32_64x16_4x1_v_bz_TNT,v6-jul-8-basic-sections,7.32,46.57,,14.18,,,,,,,11.38
lfm2.5-8b-a1b,cookbook_baseline,R_conc_ref,32,200,256,decode,nvjet_gemm_64x32_64x16,nvjet_tst_64x32_64x16_4x1_v_bz_splitK_TNT,v6-jul-8-basic-sections,7.81,50.78,,14.21,,,,,,,12.46
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c128_out256,128,200,256,decode,RMSNorm,"void norm::RMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsig",v6-jul-8-basic-sections,6.17,2.28,,13.79,,,,,,,4.86
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c128_out256,128,200,256,decode,act_and_mul,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 ",v6-jul-8-basic-sections,12.22,16.73,,35.03,,,,,,,4.61
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c128_out256,128,200,256,decode,causal_conv1d_update,"void causal_conv1d_update_kernel<Causal_conv1d_update_kernel_traits<64, 3, c10::",v6-jul-8-basic-sections,17.09,4.79,,72.33,,,,,,,6.96
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c128_out256,128,200,256,decode,nvjet_gemm_112x128_64x7,nvjet_tst_112x128_64x7_2x1_v_bz_TNN,v6-jul-8-basic-sections,37.88,62.78,,14.02,,,,,,,20.59
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c128_out256,128,200,256,decode,nvjet_gemm_48x64_64x15,nvjet_tst_48x64_64x15_4x2_v_bz_TNN,v6-jul-8-basic-sections,12.84,21.33,,14.22,,,,,,,8.74
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c128_out256,128,200,256,decode,nvjet_gemm_64x64_64x13,nvjet_tst_64x64_64x13_2x1_v_bz_splitK_TNT,v6-jul-8-basic-sections,27.0,46.66,,14.14,,,,,,,14.34
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c128_out256,128,200,256,decode,nvjet_gemm_64x64_64x13,nvjet_tst_64x64_64x13_4x2_v_bz_TNT,v6-jul-8-basic-sections,18.03,30.12,,14.22,,,,,,,9.06
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c128_out256,128,200,256,decode,nvjet_gemm_96x64_64x10,nvjet_tst_96x64_64x10_1x2_h_bz_TNN,v6-jul-8-basic-sections,28.7,46.88,,14.2,,,,,,,11.58
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c1_out2k,1,100,2048,decode,RMSNorm,"void norm::RMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsig",v6-jul-8-basic-sections,0.07,0.11,,9.08,,,,,,,3.81
lfm2.5-8b-a1b,cookbook_baseline,R_decode_c1_out2k,1,100,2048,decode,act_and_mul,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 ",v6-jul-8-basic-sections,0.12,0.21,,39.69,,,,,,,3.58
