model,chunked,cap,dataset,req_s,out_tok_s,median_ttft_ms,p99_ttft_ms,median_tpot_ms,median_e2e_ms
lfm2.5-8b-a1b,16384,128,shared_prefix,22.03,5640,2003,3389,14.87,5770
lfm2.5-8b-a1b,16384,128,toolagent,22.33,4150,123,1332,29.06,1382
lfm2.5-8b-a1b,16384,32,shared_prefix,13.87,3551,7337,14764,6.45,9146
lfm2.5-8b-a1b,16384,32,toolagent,15.14,2815,3757,13909,10.56,4612
lfm2.5-8b-a1b,16384,64,shared_prefix,17.38,4449,4478,11633,10.08,7338
lfm2.5-8b-a1b,16384,64,toolagent,18.72,3479,2603,7149,17.69,3679
lfm2.5-8b-a1b,2048,128,shared_prefix,35.22,9016,657,2483,10.18,3212
lfm2.5-8b-a1b,2048,128,toolagent,22.29,4144,94,1823,29.0,1384
lfm2.5-8b-a1b,2048,32,shared_prefix,18.63,4770,649,46504,5.75,2132
lfm2.5-8b-a1b,2048,32,toolagent,15.03,2793,199,17922,10.56,746
lfm2.5-8b-a1b,2048,64,shared_prefix,25.66,6570,444,23912,7.87,2664
lfm2.5-8b-a1b,2048,64,toolagent,18.42,3424,187,10000,17.73,1210
lfm2.5-8b-a1b,4096,128,shared_prefix,34.1,8729,744,2545,10.5,3352
lfm2.5-8b-a1b,4096,128,toolagent,24.75,4601,104,1477,26.15,1287
lfm2.5-8b-a1b,4096,32,shared_prefix,18.42,4715,1757,47009,5.67,3198
lfm2.5-8b-a1b,4096,32,toolagent,16.07,2987,221,15893,10.03,763
lfm2.5-8b-a1b,4096,64,shared_prefix,25.38,6497,469,27272,7.89,2665
lfm2.5-8b-a1b,4096,64,toolagent,19.64,3651,187,24937,17.06,3378
lfm2.5-8b-a1b,8192,128,shared_prefix,32.61,8349,824,2565,10.88,3548
lfm2.5-8b-a1b,8192,128,toolagent,23.81,4426,100,1329,27.31,1253
lfm2.5-8b-a1b,8192,32,shared_prefix,17.93,4590,1866,45907,5.72,3309
lfm2.5-8b-a1b,8192,32,toolagent,16.2,3012,240,14575,9.95,710
lfm2.5-8b-a1b,8192,64,shared_prefix,24.62,6302,690,24348,7.94,3049
lfm2.5-8b-a1b,8192,64,toolagent,20.01,3719,390,7976,16.57,1179
qwen3-30b-a3b-bf16,16384,128,shared_prefix,21.76,5569,827,1733,19.35,5770
qwen3-30b-a3b-bf16,16384,128,toolagent,11.74,2181,107,1591,52.66,2362
qwen3-30b-a3b-bf16,16384,32,shared_prefix,14.3,3661,2561,36123,7.77,4624
qwen3-30b-a3b-bf16,16384,32,toolagent,7.6,1413,208,232812,20.92,1096
qwen3-30b-a3b-bf16,16384,64,shared_prefix,19.11,4893,3686,8222,11.15,6527
qwen3-30b-a3b-bf16,16384,64,toolagent,9.85,1832,248,169101,31.71,1607
qwen3-30b-a3b-bf16,2048,128,shared_prefix,20.72,5304,965,2606,19.44,5953
qwen3-30b-a3b-bf16,2048,128,toolagent,11.07,2057,112,3777,56.73,2587
qwen3-30b-a3b-bf16,2048,32,shared_prefix,13.88,3554,2517,63585,7.97,4561
qwen3-30b-a3b-bf16,2048,32,toolagent,7.02,1305,329,154565,22.44,3547
qwen3-30b-a3b-bf16,2048,64,shared_prefix,18.28,4680,3772,18370,11.46,6711
qwen3-30b-a3b-bf16,2048,64,toolagent,9.14,1699,239,123939,34.49,2439
qwen3-30b-a3b-bf16,4096,128,shared_prefix,21.58,5525,819,2040,19.33,5736
qwen3-30b-a3b-bf16,4096,128,toolagent,11.46,2130,112,3480,54.05,2465
qwen3-30b-a3b-bf16,4096,32,shared_prefix,14.09,3607,2490,60939,7.89,4553
qwen3-30b-a3b-bf16,4096,32,toolagent,7.32,1361,268,150192,21.9,2528
qwen3-30b-a3b-bf16,4096,64,shared_prefix,18.68,4782,3779,12185,11.4,6547
qwen3-30b-a3b-bf16,4096,64,toolagent,9.49,1763,223,117958,33.22,2401
qwen3-30b-a3b-bf16,8192,128,shared_prefix,21.64,5540,811,2061,19.53,5729
qwen3-30b-a3b-bf16,8192,128,toolagent,11.68,2171,107,1735,53.03,2388
qwen3-30b-a3b-bf16,8192,32,shared_prefix,14.26,3650,2450,60157,7.88,4500
qwen3-30b-a3b-bf16,8192,32,toolagent,7.56,1405,241,234017,20.94,1136
qwen3-30b-a3b-bf16,8192,64,shared_prefix,18.85,4825,3719,8318,11.41,6628
qwen3-30b-a3b-bf16,8192,64,toolagent,9.83,1828,232,169470,31.9,1637
