model,reg,kernel,sm,dram,mem,occ,theo_occ,l2,dur,maxbw
lfm2.5-8b-a1b,agent_decode_b32,"void norm::RMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",1.83,1.02,1.69,12.28,100.0,59.28,3.04,1.69
lfm2.5-8b-a1b,agent_decode_b32,"void norm::RMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",1.83,1.02,1.69,12.28,100.0,59.28,3.04,1.69
lfm2.5-8b-a1b,agent_decode_b32,"void norm::RMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",1.83,1.02,1.69,12.28,100.0,59.28,3.04,1.69
lfm2.5-8b-a1b,agent_decode_b32,"void norm::RMSNormKernel<8, __nv_bfloat16>(T2 *, T2 *, T2 *, unsigned int, unsigned int, unsigned int, float, float)",1.83,1.02,1.69,12.28,100.0,59.28,3.04,1.69
lfm2.5-8b-a1b,agent_decode_b32,nvjet_tst_64x32_64x16_4x1_v_bz_TNT,8.05,50.82,50.82,14.13,18.75,10.32,10.4,50.82
lfm2.5-8b-a1b,agent_decode_b32,nvjet_tst_64x32_64x16_4x1_v_bz_TNT,8.05,50.82,50.82,14.13,18.75,10.32,10.4,50.82
lfm2.5-8b-a1b,agent_decode_b32,nvjet_tst_64x32_64x16_4x1_v_bz_TNT,8.05,50.82,50.82,14.13,18.75,10.32,10.4,50.82
lfm2.5-8b-a1b,agent_decode_b32,nvjet_tst_64x32_64x16_4x1_v_bz_TNT,8.05,50.82,50.82,14.13,18.75,10.32,10.4,50.82
lfm2.5-8b-a1b,agent_decode_b32,"void causal_conv1d_update_kernel<Causal_conv1d_update_kernel_traits<64, 3, c10::BFloat16, c10::BFloat16>, 0>(ConvParamsBase)",5.95,1.68,4.36,19.99,100.0,69.17,5.15,4.36
lfm2.5-8b-a1b,agent_decode_b32,"void causal_conv1d_update_kernel<Causal_conv1d_update_kernel_traits<64, 3, c10::BFloat16, c10::BFloat16>, 0>(ConvParamsBase)",5.95,1.68,4.36,19.99,100.0,69.17,5.15,4.36
lfm2.5-8b-a1b,agent_decode_b32,"void causal_conv1d_update_kernel<Causal_conv1d_update_kernel_traits<64, 3, c10::BFloat16, c10::BFloat16>, 0>(ConvParamsBase)",5.95,1.68,4.36,19.99,100.0,69.17,5.15,4.36
lfm2.5-8b-a1b,agent_decode_b32,"void causal_conv1d_update_kernel<Causal_conv1d_update_kernel_traits<64, 3, c10::BFloat16, c10::BFloat16>, 0>(ConvParamsBase)",5.95,1.68,4.36,19.99,100.0,69.17,5.15,4.36
lfm2.5-8b-a1b,agent_decode_b32,nvjet_tst_64x16_64x16_4x2_v_bz_TNT,7.58,24.38,24.38,14.08,18.75,11.53,7.3,24.38
lfm2.5-8b-a1b,agent_decode_b32,nvjet_tst_64x16_64x16_4x2_v_bz_TNT,7.58,24.38,24.38,14.08,18.75,11.53,7.3,24.38
lfm2.5-8b-a1b,agent_decode_b32,nvjet_tst_64x16_64x16_4x2_v_bz_TNT,7.58,24.38,24.38,14.08,18.75,11.53,7.3,24.38
lfm2.5-8b-a1b,agent_decode_b32,nvjet_tst_64x16_64x16_4x2_v_bz_TNT,7.58,24.38,24.38,14.08,18.75,11.53,7.3,24.38
lfm2.5-8b-a1b,agent_decode_b32,nvjet_tst_128x32_64x10_4x1_v_bz_TNT,10.1,68.08,68.08,14.23,18.75,6.93,18.85,68.08
lfm2.5-8b-a1b,agent_decode_b32,nvjet_tst_128x32_64x10_4x1_v_bz_TNT,10.1,68.08,68.08,14.23,18.75,6.93,18.85,68.08
lfm2.5-8b-a1b,agent_decode_b32,nvjet_tst_128x32_64x10_4x1_v_bz_TNT,10.1,68.08,68.08,14.23,18.75,6.93,18.85,68.08
lfm2.5-8b-a1b,agent_decode_b32,nvjet_tst_128x32_64x10_4x1_v_bz_TNT,10.1,68.08,68.08,14.23,18.75,6.93,18.85,68.08
lfm2.5-8b-a1b,agent_decode_b32,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)",4.68,6.47,6.47,39.62,87.5,39.96,3.01,6.47
lfm2.5-8b-a1b,agent_decode_b32,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)",4.68,6.47,6.47,39.62,87.5,39.96,3.01,6.47
lfm2.5-8b-a1b,agent_decode_b32,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)",4.68,6.47,6.47,39.62,87.5,39.96,3.01,6.47
lfm2.5-8b-a1b,agent_decode_b32,"void activation::act_and_mul_kernel<__nv_bfloat16, &silu<float>>(T1 *, const T1 *, int)",4.68,6.47,6.47,39.62,87.5,39.96,3.01,6.47
