model,regime,wall_window_s,attention_backend,sampling_backend,schedule_policy,kv_cache_dtype,max_running_requests,torch_compile_max_bs,samples,gpu_mem_peak_GiB,gpu_mem_mean_GiB,gpu_util_mean_pct,gpu_util_p95_pct,mem_util_mean_pct,power_mean_W,power_peak_W,temp_peak_C,sm_clock_mhz_mean,trace_wallclock_ms,trace_gpu_active_ms,kernel_categories,top_kernels_short,top_kernel_1_name,top_kernel_1_pct,top_kernel_1_calls,top_kernel_2_name,top_kernel_2_pct,moe_applicable,moe_routing_share_pct
dense,R1,41.5,fa3,flashinfer,lpm,auto,32,32,43,98.42,61.41,4.1,10.0,1.0,112.6,199.69,42.0,1411.0,74.45,23.32,cuda runtime/overhead: 38.2%; GEMM: 23.9%; attention (FlashAttention): 6.7%; norm: 4.2%,cuda runtime/overhead 17.9%; GEMM 10.0%; GEMM 9.2%; cuda runtime/overhead 8.5%; attention (FlashAttention) 6.7%,cudaGraphLaunch,17.91,7,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,10.03,False,
dense,R2,59.1,fa3,flashinfer,lpm,auto,32,32,53,98.48,64.99,11.0,100.0,3.3,133.0,383.52,48.0,1517.0,91.1,29.53,cuda runtime/overhead: 30.0%; GEMM: 17.9%; attention (FlashAttention): 9.1%; norm: 4.2%,cuda runtime/overhead 14.1%; attention (FlashAttention) 9.1%; cuda runtime/overhead 7.8%; GEMM 6.7%; norm 4.2%,cudaGraphLaunch,14.07,7,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute...",9.06,False,
dense,R3,62.4,fa3,flashinfer,lpm,auto,32,32,45,98.83,59.15,4.2,9.0,1.3,119.5,334.05,47.0,1398.0,107.49,61.41,GEMM: 29.2%; attention (FlashAttention): 23.1%; cuda runtime/overhead: 9.9%; elementwise: 4.1%,attention (FlashAttention) 14.1%; GEMM 9.4%; attention (FlashAttention) 9.1%; GEMM 6.4%; cuda runtime/overhead 5.6%,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute...",14.07,56,nvjet_tst_128x256_64x4_2x1_v_bz_coopA_TNN,9.37,False,
dense,R4,63.9,fa3,flashinfer,lpm,auto,32,32,50,99.02,61.16,6.0,18.0,1.9,132.4,425.52,49.0,1457.0,116.13,61.72,GEMM: 28.1%; attention (FlashAttention): 22.8%; cuda runtime/overhead: 9.5%; norm: 4.1%; elementwise: 3.9%,attention (FlashAttention) 13.8%; GEMM 9.4%; attention (FlashAttention) 9.0%; GEMM 7.5%; GEMM 6.4%,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute...",13.77,56,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,9.41,False,
dense,R5,85.7,fa3,flashinfer,lpm,auto,32,32,54,98.62,63.81,4.2,26.0,1.1,120.1,266.24,45.0,1526.0,189.78,45.64,cuda runtime/overhead: 22.3%; GEMM: 15.3%; attention (FlashAttention): 11.5%; norm: 4.0%; elementwise: 3.6%,cuda runtime/overhead 9.9%; cuda runtime/overhead 6.7%; attention (FlashAttention) 6.4%; GEMM 6.2%; cuda runtime/overhead 5.7%,cudaLaunchKernel,9.94,916,cudaLaunchKernelExC,6.65,False,
dense,R6,92.1,fa3,flashinfer,lpm,auto,32,32,48,98.48,63.56,15.2,100.0,3.2,122.5,226.97,43.0,1469.0,46.66,22.21,cuda runtime/overhead: 31.8%; GEMM: 31.3%; attention (FlashAttention): 7.9%; norm: 4.5%; other: 3.2%,cuda runtime/overhead 18.8%; GEMM 14.0%; GEMM 11.8%; attention (FlashAttention) 7.9%; cuda runtime/overhead 6.0%,cudaGraphLaunch,18.75,8,nvjet_tst_8x64_64x16_2x1_v_bz_TNN,14.0,False,
dense,R7,66.9,fa3,flashinfer,lpm,auto,32,32,52,99.37,62.64,8.7,76.0,4.4,147.3,656.99,55.0,1476.0,227.97,177.85,GEMM: 36.8%; attention (FlashAttention): 17.2%; elementwise: 5.0%; other: 4.2%; norm: 4.2%,attention (FlashAttention) 17.2%; GEMM 10.7%; GEMM 6.0%; GEMM 5.9%; GEMM 5.2%,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute...",17.24,140,nvjet_tst_128x248_64x4_2x1_v_bz_coopA_TNT,10.74,False,
dense,R8,64.6,fa3,flashinfer,lpm,auto,32,32,48,98.95,59.58,12.7,100.0,4.5,147.0,630.14,56.0,1468.0,234.02,103.23,attention (FlashAttention): 23.1%; GEMM: 21.6%; cuda runtime/overhead: 9.4%; elementwise: 4.3%; norm: 3.8%,attention (FlashAttention) 15.6%; attention (FlashAttention) 7.4%; GEMM 7.0%; GEMM 6.2%; cuda runtime/overhead 5.0%,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute...",15.63,112,"void cutlass::device_kernel<flash::enable_sm90_or_later<flash::FlashAttnFwdSm90<flash::CollectiveMainloopFwdSm90<2, cute...",7.44,False,
gemma,R1,55.1,fa3,flashinfer,lpm,auto,32,32,59,98.47,65.13,8.9,69.0,1.0,114.4,172.06,41.0,1509.0,170.4,82.96,cuda runtime/overhead: 48.9%; elementwise: 16.0%; other: 8.1%; GEMM: 4.9%,cuda runtime/overhead 28.9%; cuda runtime/overhead 16.2%; elementwise 7.5%; elementwise 5.0%; other 4.2%,cudaGraphLaunch,28.91,7,cudaLaunchKernel,16.19,False,
gemma,R2,75.3,fa3,flashinfer,lpm,auto,32,32,71,98.63,68.48,20.6,100.0,2.5,126.2,206.07,43.0,1612.0,184.75,90.43,cuda runtime/overhead: 38.9%; elementwise: 20.0%; other: 9.6%; GEMM: 2.9%,cuda runtime/overhead 19.9%; cuda runtime/overhead 15.7%; elementwise 7.9%; elementwise 6.7%; other 5.5%,cudaGraphLaunch,19.91,7,cudaLaunchKernel,15.71,False,
gemma,R3,66.2,fa3,flashinfer,lpm,auto,32,32,59,99.81,65.88,9.3,78.0,1.2,118.9,236.52,44.0,1509.0,185.6,161.03,elementwise: 24.2%; cuda runtime/overhead: 18.7%; other: 17.4%; GEMM: 15.1%,other 13.4%; elementwise 10.8%; cuda runtime/overhead 10.4%; GEMM 9.6%; cuda runtime/overhead 8.2%,cudaEventSynchronize,13.37,8,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, f...",10.76,False,
gemma,R4,56.9,fa3,flashinfer,lpm,auto,32,32,64,99.81,67.0,13.7,100.0,1.8,123.6,225.27,43.0,1546.0,187.95,160.72,elementwise: 24.2%; cuda runtime/overhead: 18.9%; other: 17.0%; GEMM: 15.2%,other 12.9%; elementwise 10.8%; cuda runtime/overhead 10.5%; GEMM 9.7%; cuda runtime/overhead 8.4%,cudaEventSynchronize,12.95,8,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, f...",10.78,False,
gemma,R5,88.2,fa3,flashinfer,lpm,auto,32,32,72,99.11,69.04,9.0,67.0,1.0,119.8,190.37,42.0,1594.0,371.52,129.93,cuda runtime/overhead: 33.8%; elementwise: 24.8%; GEMM: 11.2%; other: 4.8%,cuda runtime/overhead 25.3%; elementwise 9.7%; cuda runtime/overhead 8.6%; elementwise 7.2%; GEMM 7.1%,cudaLaunchKernel,25.27,9051,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, f...",9.68,False,
gemma,R6,85.7,fa3,flashinfer,lpm,auto,32,32,71,98.59,71.24,27.0,100.0,3.2,126.4,183.0,42.0,1589.0,108.97,71.19,cuda runtime/overhead: 44.6%; elementwise: 16.8%; other: 8.4%; GEMM: 6.4%,cuda runtime/overhead 28.2%; cuda runtime/overhead 10.6%; elementwise 9.6%; cuda runtime/overhead 5.8%; other 4.4%,cudaGraphLaunch,28.23,8,cudaLaunchKernel,10.64,False,
