model,regime_id,regime_name,regime_hint,rep,input_len_spec,output_len_spec,dataset_name,max_concurrency,num_prompts,request_rate,status,error,duration_s,completed,failed_requests,request_throughput,input_throughput,output_throughput,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p99_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,e2e_mean_ms,e2e_p50_ms,e2e_p99_ms,oom,server_crash,attention_backend,schedule_policy,chunked_prefill_size,max_prefill_tokens,max_running_requests,mem_fraction_static,kv_cache_size_gb_total,max_total_num_tokens,cuda_graph_bs_captured_max,peak_running_reqs,peak_queue_reqs,prefill_batch_count,decode_batch_count,kv_pool_full_events,retract_events,concurrency_capped,at_capacity
dense,R1,R1_baseline_short_low_conc,baseline_low_load,1,128,128,random,4,32,inf,pass,,59.04,32,0,21.201733354985304,1562.9652807628229,1433.104663963538,26.608952815877274,20.595375099219382,88.90454535139725,89.10921640926972,2.277281523583119,2.337205640749255,3.224928429408464,1.771237002685666,2.6317730080336332,18.60788981430219,181.5132063929923,187.89042893331498,366.4905878738501,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,4,0,32,15,0,0,False,False
dense,R2,R2_decode_heavy,decode_saturation,1,128,1024,random,32,64,inf,pass,,61.66,64,0,16.695147074308295,1179.6164854690956,9007.553569935399,52.263076871895464,40.36081302911043,119.12616171175614,119.44537408417091,2.706546805225703,2.6985086439860906,3.8821946670462784,2.2528620902448893,2.727058297023177,17.482314417138696,1476.0868564189877,1518.4663434047252,2853.3045353903435,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,32,1,37,39,0,0,False,False
dense,R3,R3_prefill_heavy,prefill_dominated,1,4096,128,random,8,32,inf,pass,,64.84,32,0,26.57844494335584,62239.24286969906,1796.5367628899587,41.355719877174124,34.2166080372408,107.97008808003739,108.19720511324704,3.3060223773133885,3.3674633023558096,4.831642593898434,2.367332810536027,14.262182917445893,19.300748044624925,269.2665119029698,287.34691243153065,546.9796854583547,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,9,0,29,9,0,0,False,False
dense,R4,R4_long_in_long_out,prefill_and_decode_mixed,1,4096,512,random,8,24,inf,pass,,60.24,24,0,9.027120927645822,21375.09396654935,2517.8144787358806,43.67948731911989,29.187290114350617,109.98842105036601,110.20794282201678,2.70952664629759,2.7639032244514268,3.0761668939094284,2.466435544192791,2.8738968539983025,15.146140430588275,792.6932981063146,773.0138003826141,1463.2837222958915,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,8,0,21,25,0,0,False,False
dense,R5,R5_high_concurrency,saturation_high_conc,1,512,256,random,64,128,inf,pass,,69.6,128,0,47.95252072564618,12903.723624016851,5956.97681295703,519.9777302368602,526.2435444165021,1191.127828124445,1341.2101990496742,4.680926495532372,4.6428132735724965,13.434341345230688,2.2233519703149796,17.128156032413244,20.833656210452318,1068.2301876313431,1073.5183764481917,2260.3621339192614,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,32,33,87,17,0,0,True,False
dense,R6,R6_low_concurrency,latency_under_utilization,1,512,256,random,1,16,inf,pass,,68.24,16,0,3.5152602514289755,759.0765105429444,518.5008870857739,24.714120372664183,20.62481956090778,42.98005340388045,80.15864192275328,1.7667242914600192,1.7708941768167186,1.7859871386789297,1.7750710248947144,1.8128004856407642,1.8421537685208023,284.0019283175934,244.61131100542843,502.2164814989082,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,1,0,18,60,0,0,False,False
dense,R7,R7_mixed_lengths,mixed_length_distribution,1,2048±95%,256,random,32,64,inf,pass,,68.35,64,0,27.03224367805973,53998.17388334672,6721.73634207254,120.70646994106937,126.8091059755534,194.03809300856665,249.34519327012822,4.210010655729066,4.245147923523749,4.880504058416954,3.7583988159894943,4.2538747657090425,10.972951734438539,1163.52838237799,1156.39013343025,1382.1207196358591,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,32,4,23,13,0,0,False,False
dense,R8,R8_prefix_sharing,radix_cache_prefix_reuse,1,2048+128,256,generated-shared-prefix,32,64,inf,pass,,59.9,64,0,26.892840552286657,61481.235508863596,6884.567181385384,161.47725633709342,165.30810948461294,197.24281104281545,251.5377050009556,3.9962717952399616,3.930856607507404,4.149180749358208,3.775579505600035,3.8966678897850215,4.062679558992384,1180.5265641232836,1180.5952430004254,1224.8179484833963,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,32,0,21,13,0,0,False,False
dense,R1,R1_baseline_short_low_conc,baseline_low_load,2,128,128,random,4,32,inf,pass,,37.33,32,0,21.02396384087114,1549.8603343942193,1421.0885558688838,28.289287591178436,20.75843804050237,101.89558771671727,102.1292364411056,2.2348794782724113,2.305908131682755,2.9349743999773636,1.7759690526872873,2.374200033955276,19.099003868177487,183.17723386280704,188.66005493327975,381.5831157681533,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,4,0,31,15,0,0,False,False
dense,R2,R2_decode_heavy,decode_saturation,2,128,1024,random,32,64,inf,pass,,39.45,64,0,16.699687445199384,1179.9372910498691,9010.003241917731,54.04772017936921,38.70827588252723,117.68522699130699,117.99348897766322,2.677174855666843,2.695735297601836,3.8012018864974366,2.265066490508616,2.720579272136092,17.024522845167667,1475.350872886338,1519.3098494783044,2851.8752424395643,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,32,1,37,39,0,0,False,False
dense,R3,R3_prefill_heavy,prefill_dominated,2,4096,128,random,8,32,inf,pass,,36.79,32,0,26.771743595438213,62691.89394763008,1809.6025436541518,41.62324858043576,33.324798569083214,109.94627553736791,110.19367314642295,3.2803802823330277,3.2985023737176142,4.985249101435048,2.3522430565208197,13.952015526592712,19.683246370404955,266.87223258340964,282.8127274988219,541.0658466652967,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,8,0,27,9,0,0,False,False
dense,R4,R4_long_in_long_out,prefill_and_decode_mixed,2,4096,512,random,8,24,inf,pass,,70.36,24,0,8.888238654995673,21046.238105197877,2479.0778981892095,42.81835150322877,29.34473706409335,79.60687486920506,122.4448820343241,2.753812766101526,2.8082840636262505,3.149297746714669,2.465050551109016,2.9195010429248214,15.697865996044124,805.1602133879593,787.7751430496573,1490.228482997045,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,8,0,22,25,0,0,False,False
dense,R5,R5_high_concurrency,saturation_high_conc,2,512,256,random,64,128,inf,pass,,38.6,128,0,45.46356160738803,12233.960281288071,5647.781977492789,555.7372167804715,562.9122074460611,1278.658763237763,1440.0279928860255,4.985907367895468,4.996448432095349,14.852822313550803,2.227969001978636,18.395160394720733,23.68436235236004,1137.7559741995356,1142.0084125129506,2404.51307737967,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,32,33,86,17,0,0,True,False
dense,R6,R6_low_concurrency,latency_under_utilization,2,512,256,random,1,16,inf,pass,,40.4,16,0,3.552640937362921,767.1484024118057,524.0145382610308,20.689658078481443,20.711066899821162,24.78538517607376,26.576777116861194,1.7740149236890206,1.7768181281016937,1.791866541388533,1.7815630417317152,1.8177894176915288,1.86656455276534,280.96118762914557,246.24532996676862,464.5593273686245,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,1,0,18,60,0,0,False,False
dense,R7,R7_mixed_lengths,mixed_length_distribution,2,2048±95%,256,random,32,64,inf,pass,,37.84,64,0,27.150841169540975,54235.07793183792,6751.226349563673,95.0426985109516,80.8309584390372,181.8535287049599,237.0881212921813,4.294698466119816,4.339317217897194,4.872749677500869,3.792833420448005,3.9937893045134842,22.638185077812523,1158.854018744023,1158.267374150455,1363.8124869251624,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,32,5,23,13,0,0,False,False
dense,R8,R8_prefix_sharing,radix_cache_prefix_reuse,2,2048+128,256,generated-shared-prefix,32,64,inf,pass,,67.3,64,0,27.041834291777,61821.858477610316,6922.709578694912,153.75953539114562,152.64302701689303,191.02302736137062,211.2412527762352,4.0016864706772415,3.894372459263632,4.182657192543369,3.7908435333520174,3.923225542530417,3.9877868536859755,1174.189585413842,1174.6548850787804,1223.8821846689098,False,False,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,32,0,20,13,0,0,False,False
gemma,R1,R1_baseline_short_low_conc,baseline_low_load,1,128,128,random,4,32,inf,pass,,78.34,32,0,8.88093271796795,645.8103260847319,600.2955459051461,50.34507447271608,40.48059694468975,119.19951009331271,119.42465841770172,5.609624223780204,5.61680939465173,7.0287105698371315,4.731541033834219,5.059621529653668,36.58932493999598,434.178406088904,470.3141684876755,834.6343626454474,False,False,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,4,0,31,15,0,0,False,False
gemma,R2,R2_decode_heavy,decode_saturation,1,128,1024,random,32,64,inf,pass,,79.61,64,0,7.374483227268249,513.678847299404,3978.7641537120726,82.22702782222768,63.71041655074805,132.30344029143453,132.77644566260278,5.908958572859412,6.046512943038698,7.4109412944203,5.2145489025861025,5.6616040877997875,32.994154496118426,3228.3844720550405,3386.18532451801,6272.8066342370585,False,False,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,32,0,35,39,0,0,False,False
gemma,R3,R3_prefill_heavy,prefill_dominated,1,4096,128,random,8,32,inf,pass,,71.39,32,0,13.358435263757375,31268.339892538086,902.9467336096001,67.54263604670996,41.27570707350969,143.8592609600164,144.20046000974253,6.604454485528254,6.865581902140965,8.421757644773075,4.876602906733751,30.520499916747212,36.60262860357761,528.498741608928,582.5494144810364,1060.5043362546714,False,False,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,8,0,27,9,0,0,False,False
gemma,R4,R4_long_in_long_out,prefill_and_decode_mixed,1,4096,512,random,8,24,inf,pass,,74.05,24,0,4.53710479892936,10738.75992096593,1265.474146834714,73.98136937990785,42.0359845738858,140.47423575539142,140.6555651105009,5.320023862923078,5.348619598298589,5.684396275898916,4.876694991253316,5.049344908911735,32.33953968156129,1555.6435850351893,1563.5030958801508,2878.6411641188897,False,False,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,8,0,19,25,0,0,False,False
gemma,R5,R5_high_concurrency,saturation_high_conc,1,512,256,random,64,128,inf,pass,,74.46,128,0,22.278297318571212,5972.672271750702,2767.5562942390693,1061.4554462208616,1045.9614713909104,2631.0580476769246,2821.729663696606,9.680674836352377,10.023918807772654,12.70576751589154,5.220209946855903,35.930097149685025,39.882036009803414,2245.4704697338457,2247.16841802001,4716.7107857367955,False,False,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,32,34,83,17,0,0,True,False
