timestamp,memory.used,memory.total,memory.free,utilization.gpu,utilization.memory,power.draw,temperature.gpu,clocks.current.sm,clocks.current.memory,t_unix
2026/06/01 18:20:56.486,1,143771,143156,0,0,78.71,40,345,3201,1780338056.6633718
2026/06/01 18:21:18.051,4,143771,143153,0,0,78.51,39,345,3201,1780338078.1091838
2026/06/01 18:21:18.661,4,143771,143153,0,0,78.57,39,345,3201,1780338078.720115
2026/06/01 18:21:19.269,4,143771,143153,0,0,78.53,39,345,3201,1780338079.328246
2026/06/01 18:21:19.878,4,143771,143153,0,0,78.55,39,345,3201,1780338079.9358578
2026/06/01 18:21:20.485,4,143771,143153,0,0,78.49,39,345,3201,1780338080.544008
2026/06/01 18:21:21.094,4,143771,143153,0,0,78.49,39,345,3201,1780338081.152859
2026/06/01 18:21:21.709,4,143771,143153,0,0,78.47,39,345,3201,1780338081.769346
2026/06/01 18:21:22.318,4,143771,143153,0,0,78.40,39,345,3201,1780338082.3772721
2026/06/01 18:21:22.934,4,143771,143153,0,0,78.49,39,345,3201,1780338082.9961605
2026/06/01 18:21:23.583,4,143771,143153,0,0,78.57,39,345,3201,1780338083.7426133
2026/06/01 18:21:24.303,4,143771,143153,0,0,78.53,39,345,3201,1780338084.365306
2026/06/01 18:21:24.924,4,143771,143153,0,0,78.55,39,345,3201,1780338084.9868782
2026/06/01 18:21:25.558,4,143771,143153,0,0,78.54,39,345,3201,1780338085.6258664
2026/06/01 18:21:26.195,4,143771,143153,0,0,78.53,39,345,3201,1780338086.2629745
2026/06/01 18:21:26.832,4,143771,143153,0,0,78.49,39,345,3201,1780338086.8994093
2026/06/01 18:21:27.501,22,143771,143135,0,0,79.40,39,1980,3201,1780338087.6050355
2026/06/01 18:21:28.172,692,143771,142465,0,0,108.27,40,1980,3201,1780338088.2367446
2026/06/01 18:21:28.804,59104,143771,84053,10,0,121.13,40,1980,3201,1780338088.8695424
2026/06/01 18:21:29.437,59104,143771,84053,12,0,122.02,40,1980,3201,1780338089.5020878
2026/06/01 18:21:30.069,59104,143771,84053,10,0,121.97,40,1980,3201,1780338090.1338995
2026/06/01 18:21:30.700,59104,143771,84053,10,0,121.79,40,1980,3201,1780338090.7651234
2026/06/01 18:21:31.330,59104,143771,84053,9,0,121.79,40,1980,3201,1780338091.395075
2026/06/01 18:21:31.960,59104,143771,84053,10,0,121.83,40,1980,3201,1780338092.025252
2026/06/01 18:21:32.590,59104,143771,84053,12,0,121.93,40,1980,3201,1780338092.6547847
2026/06/01 18:21:33.220,59104,143771,84053,9,0,122.04,40,1980,3201,1780338093.2858896
2026/06/01 18:21:33.850,59104,143771,84053,12,0,121.99,40,1980,3201,1780338093.9146078
2026/06/01 18:21:34.479,59104,143771,84053,12,0,122.01,40,1980,3201,1780338094.5445383
2026/06/01 18:21:35.110,59104,143771,84053,12,0,122.06,40,1980,3201,1780338095.174622
2026/06/01 18:21:35.739,59104,143771,84053,12,0,122.07,40,1980,3201,1780338095.8045397
2026/06/01 18:21:36.372,59104,143771,84053,11,0,122.02,40,1980,3201,1780338096.437434
2026/06/01 18:21:37.002,59104,143771,84053,5,0,121.96,40,1980,3201,1780338097.0667715
2026/06/01 18:21:37.631,59104,143771,84053,9,0,121.98,41,1980,3201,1780338097.6960318
2026/06/01 18:21:38.260,59104,143771,84053,12,0,122.05,41,1980,3201,1780338098.325232
2026/06/01 18:21:38.890,59104,143771,84053,9,0,122.14,40,1980,3201,1780338098.9549646
2026/06/01 18:21:39.520,59104,143771,84053,9,0,121.93,41,1980,3201,1780338099.5846562
2026/06/01 18:21:40.149,59104,143771,84053,10,0,121.93,41,1980,3201,1780338100.2141538
2026/06/01 18:21:40.778,59104,143771,84053,10,0,121.93,41,1980,3201,1780338100.8429005
2026/06/01 18:21:41.408,122008,143771,21149,0,0,126.87,41,1980,3201,1780338101.47378
2026/06/01 18:21:42.041,122058,143771,21099,0,0,126.32,41,1980,3201,1780338102.10595
2026/06/01 18:21:42.676,122084,143771,21073,3,1,127.53,41,1980,3201,1780338102.7422214
2026/06/01 18:21:43.309,122076,143771,21081,3,1,133.18,41,1980,3201,1780338103.3756437
2026/06/01 18:21:44.054,122080,143771,21077,0,0,126.42,41,1980,3201,1780338104.1282203
2026/06/01 18:21:44.692,122080,143771,21077,0,0,121.72,41,1980,3201,1780338104.7562938
2026/06/01 18:21:45.320,122080,143771,21077,0,0,121.63,41,1980,3201,1780338105.3842535
2026/06/01 18:21:45.949,122114,143771,21043,0,0,129.75,41,1980,3201,1780338106.0142958
2026/06/01 18:21:46.579,122114,143771,21043,0,0,130.97,41,1980,3201,1780338106.642877
2026/06/01 18:21:47.209,122114,143771,21043,0,0,121.72,41,1980,3201,1780338107.274697
2026/06/01 18:21:47.840,122114,143771,21043,0,0,121.72,41,1980,3201,1780338107.9043996
2026/06/01 18:21:48.468,122114,143771,21043,0,0,121.70,41,1980,3201,1780338108.53291
2026/06/01 18:21:49.099,122114,143771,21043,0,0,121.65,41,1980,3201,1780338109.1649678
2026/06/01 18:21:49.732,122114,143771,21043,0,0,121.61,41,1980,3201,1780338109.7972438
