timestamp,memory.used,memory.total,memory.free,utilization.gpu,utilization.memory,power.draw,temperature.gpu,clocks.current.sm,clocks.current.memory,t_unix
2026/06/01 20:42:52.694,4,143771,143153,0,0,78.54,39,345,3201,1780346572.7525213
2026/06/01 20:42:53.300,4,143771,143153,0,0,78.60,39,345,3201,1780346573.3589346
2026/06/01 20:42:53.909,4,143771,143153,0,0,78.58,39,345,3201,1780346573.9678104
2026/06/01 20:42:54.517,4,143771,143153,0,0,78.60,39,345,3201,1780346574.5751872
2026/06/01 20:42:55.125,4,143771,143153,0,0,78.59,39,345,3201,1780346575.1831918
2026/06/01 20:42:55.734,4,143771,143153,0,0,78.55,39,345,3201,1780346575.7921057
2026/06/01 20:42:56.342,4,143771,143153,0,0,78.55,39,345,3201,1780346576.4008393
2026/06/01 20:42:56.950,4,143771,143153,0,0,78.56,39,345,3201,1780346577.0085711
2026/06/01 20:42:57.567,4,143771,143153,0,0,78.57,39,345,3201,1780346577.6296742
2026/06/01 20:42:58.215,4,143771,143153,0,0,78.55,39,345,3201,1780346578.3642056
2026/06/01 20:42:58.922,4,143771,143153,0,0,78.57,39,345,3201,1780346578.9844854
2026/06/01 20:42:59.543,4,143771,143153,0,0,78.59,39,345,3201,1780346579.605826
2026/06/01 20:43:00.175,4,143771,143153,0,0,78.59,39,345,3201,1780346580.2429125
2026/06/01 20:43:00.811,4,143771,143153,0,0,78.56,39,345,3201,1780346580.8785467
2026/06/01 20:43:01.447,4,143771,143153,0,0,78.51,39,345,3201,1780346581.5155025
2026/06/01 20:43:02.131,22,143771,143135,0,0,79.97,39,1980,3201,1780346582.2371511
2026/06/01 20:43:02.801,692,143771,142465,0,0,108.87,40,1980,3201,1780346582.8658493
2026/06/01 20:43:03.430,59104,143771,84053,10,0,121.50,40,1980,3201,1780346583.4947357
2026/06/01 20:43:04.059,59104,143771,84053,12,0,121.99,40,1980,3201,1780346584.1248682
2026/06/01 20:43:04.689,59104,143771,84053,9,0,121.91,40,1980,3201,1780346584.754281
2026/06/01 20:43:05.318,59104,143771,84053,10,0,121.85,40,1980,3201,1780346585.3832376
2026/06/01 20:43:05.947,59104,143771,84053,9,0,121.81,40,1980,3201,1780346586.0119238
2026/06/01 20:43:06.576,59104,143771,84053,10,0,121.83,40,1980,3201,1780346586.6406567
2026/06/01 20:43:07.205,59104,143771,84053,12,0,121.86,40,1980,3201,1780346587.2705352
2026/06/01 20:43:07.837,59104,143771,84053,9,0,121.86,40,1980,3201,1780346587.902818
2026/06/01 20:43:08.468,59104,143771,84053,12,0,121.96,40,1980,3201,1780346588.5331595
2026/06/01 20:43:09.098,59104,143771,84053,12,0,122.12,40,1980,3201,1780346589.1619565
2026/06/01 20:43:09.725,59104,143771,84053,12,0,122.13,40,1980,3201,1780346589.78961
2026/06/01 20:43:10.353,59104,143771,84053,12,0,122.11,40,1980,3201,1780346590.4176438
2026/06/01 20:43:10.981,59104,143771,84053,12,0,122.03,40,1980,3201,1780346591.0454354
2026/06/01 20:43:11.608,59104,143771,84053,8,0,121.94,40,1980,3201,1780346591.6728837
2026/06/01 20:43:12.236,59104,143771,84053,10,0,121.84,40,1980,3201,1780346592.3009698
2026/06/01 20:43:12.865,59104,143771,84053,12,0,121.94,40,1980,3201,1780346592.9300249
2026/06/01 20:43:13.495,59104,143771,84053,10,0,122.05,40,1980,3201,1780346593.5596244
2026/06/01 20:43:14.124,59104,143771,84053,5,0,121.91,40,1980,3201,1780346594.1892352
2026/06/01 20:43:14.754,59104,143771,84053,10,0,121.93,40,1980,3201,1780346594.819088
2026/06/01 20:43:15.383,59104,143771,84053,12,0,121.97,40,1980,3201,1780346595.447502
2026/06/01 20:43:16.012,122008,143771,21149,0,0,126.80,40,1980,3201,1780346596.0774376
2026/06/01 20:43:16.642,122060,143771,21097,0,0,126.18,40,1980,3201,1780346596.7085092
2026/06/01 20:43:17.274,122086,143771,21071,9,3,128.78,41,1980,3201,1780346597.3416975
