timestamp,memory.used,memory.total,memory.free,utilization.gpu,utilization.memory,power.draw,temperature.gpu,clocks.current.sm,clocks.current.memory,t_unix
2026/06/01 20:58:58.222,1,143771,143156,0,0,122.80,41,1980,3201,1780347538.2972922
2026/06/01 20:59:19.950,4,143771,143153,0,0,78.37,39,345,3201,1780347560.0091245
2026/06/01 20:59:20.557,4,143771,143153,0,0,78.39,39,345,3201,1780347560.6157136
2026/06/01 20:59:21.167,4,143771,143153,0,0,78.39,39,345,3201,1780347561.225624
2026/06/01 20:59:21.776,4,143771,143153,0,0,78.39,39,345,3201,1780347561.865067
2026/06/01 20:59:22.414,4,143771,143153,0,0,78.38,39,345,3201,1780347562.4724665
2026/06/01 20:59:23.020,4,143771,143153,0,0,78.41,39,345,3201,1780347563.0789235
2026/06/01 20:59:23.636,4,143771,143153,0,0,78.34,39,345,3201,1780347563.6944654
2026/06/01 20:59:24.245,4,143771,143153,0,0,78.38,39,345,3201,1780347564.3028958
2026/06/01 20:59:24.852,4,143771,143153,0,0,78.42,39,345,3201,1780347564.909615
2026/06/01 20:59:25.463,4,143771,143153,0,0,78.40,39,345,3201,1780347565.5279145
2026/06/01 20:59:26.076,4,143771,143153,0,0,78.40,39,345,3201,1780347566.134836
2026/06/01 20:59:26.691,4,143771,143153,0,0,78.37,39,345,3201,1780347566.7534828
2026/06/01 20:59:27.321,4,143771,143153,0,0,78.37,39,345,3201,1780347567.3887753
2026/06/01 20:59:27.958,4,143771,143153,0,0,78.32,39,345,3201,1780347568.0262983
2026/06/01 20:59:28.596,4,143771,143153,0,0,78.38,39,345,3201,1780347568.6631515
2026/06/01 20:59:29.262,22,143771,143135,0,0,80.53,39,1980,3201,1780347569.3679302
2026/06/01 20:59:29.932,692,143771,142465,0,0,108.71,40,1980,3201,1780347569.9973986
2026/06/01 20:59:30.564,59104,143771,84053,9,0,121.32,40,1980,3201,1780347570.629872
2026/06/01 20:59:31.196,59104,143771,84053,12,0,121.81,40,1980,3201,1780347571.2625163
2026/06/01 20:59:31.826,59104,143771,84053,10,0,121.70,40,1980,3201,1780347571.891913
2026/06/01 20:59:32.457,59104,143771,84053,10,0,121.63,40,1980,3201,1780347572.522251
2026/06/01 20:59:33.089,59104,143771,84053,10,0,121.62,40,1980,3201,1780347573.1543946
2026/06/01 20:59:33.718,59104,143771,84053,10,0,121.67,40,1980,3201,1780347573.7836964
2026/06/01 20:59:34.347,59104,143771,84053,12,0,121.74,40,1980,3201,1780347574.4126325
2026/06/01 20:59:34.979,59104,143771,84053,6,0,121.78,40,1980,3201,1780347575.0455828
2026/06/01 20:59:35.610,59104,143771,84053,12,0,121.75,40,1980,3201,1780347575.6762283
2026/06/01 20:59:36.242,59104,143771,84053,12,0,121.82,40,1980,3201,1780347576.307945
2026/06/01 20:59:36.874,59104,143771,84053,12,0,121.89,40,1980,3201,1780347576.9393616
2026/06/01 20:59:37.504,59104,143771,84053,12,0,121.87,40,1980,3201,1780347577.5691216
2026/06/01 20:59:38.135,59104,143771,84053,6,0,121.85,40,1980,3201,1780347578.2000384
2026/06/01 20:59:38.764,59104,143771,84053,12,0,121.91,40,1980,3201,1780347578.8293834
2026/06/01 20:59:39.395,59104,143771,84053,10,0,121.81,40,1980,3201,1780347579.4608595
2026/06/01 20:59:40.026,59104,143771,84053,12,0,121.74,40,1980,3201,1780347580.0910795
2026/06/01 20:59:40.657,59104,143771,84053,10,0,121.78,40,1980,3201,1780347580.7217355
2026/06/01 20:59:41.288,59104,143771,84053,9,0,121.76,40,1980,3201,1780347581.3531718
2026/06/01 20:59:41.916,59104,143771,84053,10,0,121.68,40,1980,3201,1780347581.981449
2026/06/01 20:59:42.548,59104,143771,84053,10,0,121.72,40,1980,3201,1780347582.613427
2026/06/01 20:59:43.179,75454,143771,67703,6,0,121.82,40,1980,3201,1780347583.2480123
2026/06/01 20:59:43.812,122058,143771,21099,0,0,125.96,40,1980,3201,1780347583.8775077
2026/06/01 20:59:44.446,122062,143771,21095,12,3,126.82,40,1980,3201,1780347584.5118139
2026/06/01 20:59:45.080,122072,143771,21085,10,3,134.04,40,1980,3201,1780347585.1459105
2026/06/01 20:59:45.738,122080,143771,21077,0,0,129.14,40,1980,3201,1780347585.8208463
2026/06/01 20:59:46.386,122080,143771,21077,0,0,121.03,40,1980,3201,1780347586.4518332
2026/06/01 20:59:47.016,122080,143771,21077,0,0,120.86,40,1980,3201,1780347587.080865
2026/06/01 20:59:47.646,122114,143771,21043,4,2,122.30,40,1980,3201,1780347587.7106807
2026/06/01 20:59:48.274,122114,143771,21043,0,0,128.91,40,1980,3201,1780347588.3394313
2026/06/01 20:59:48.901,122114,143771,21043,0,0,122.28,40,1980,3201,1780347588.9655962
2026/06/01 20:59:49.529,122114,143771,21043,0,0,122.19,40,1980,3201,1780347589.593935
2026/06/01 20:59:50.159,122114,143771,21043,0,0,120.92,40,1980,3201,1780347590.224051
2026/06/01 20:59:50.788,122114,143771,21043,0,0,120.88,40,1980,3201,1780347590.8526123
2026/06/01 20:59:51.418,122114,143771,21043,0,0,120.85,40,1980,3201,1780347591.483163
2026/06/01 20:59:52.048,122114,143771,21043,0,0,120.86,40,1980,3201,1780347592.113564
2026/06/01 20:59:52.677,122114,143771,21043,0,0,120.96,40,1980,3201,1780347592.741457
2026/06/01 20:59:53.353,122114,143771,21043,0,0,121.35,40,1980,3201,1780347593.4211771
2026/06/01 20:59:53.986,122114,143771,21043,0,0,121.45,40,1980,3201,1780347594.0507863
