timestamp,memory.used,memory.total,memory.free,utilization.gpu,utilization.memory,power.draw,temperature.gpu,clocks.current.sm,clocks.current.memory,t_unix
2026/06/01 21:00:25.579,1,143771,143156,0,0,123.01,41,1980,3201,1780347625.7232056
2026/06/01 21:00:40.475,4,143771,143153,0,0,78.76,39,345,3201,1780347640.5345626
2026/06/01 21:00:41.083,4,143771,143153,0,0,78.77,39,345,3201,1780347641.141594
2026/06/01 21:00:41.691,4,143771,143153,0,0,78.73,39,345,3201,1780347641.7497902
2026/06/01 21:00:42.298,4,143771,143153,0,0,78.72,39,345,3201,1780347642.3560054
2026/06/01 21:00:42.904,4,143771,143153,0,0,78.69,39,345,3201,1780347642.9631402
2026/06/01 21:00:43.511,4,143771,143153,0,0,78.72,39,345,3201,1780347643.5697858
2026/06/01 21:00:44.118,4,143771,143153,0,0,78.67,39,345,3201,1780347644.2052915
2026/06/01 21:00:44.753,4,143771,143153,0,0,78.68,39,345,3201,1780347644.8117678
2026/06/01 21:00:45.368,4,143771,143153,0,0,78.74,39,345,3201,1780347645.4309528
2026/06/01 21:00:46.076,4,143771,143153,0,0,78.65,39,345,3201,1780347646.2497642
2026/06/01 21:00:46.814,4,143771,143153,0,0,78.61,39,345,3201,1780347646.879458
2026/06/01 21:00:47.442,4,143771,143153,0,0,78.62,39,345,3201,1780347647.5075467
2026/06/01 21:00:48.077,4,143771,143153,0,0,78.61,39,345,3201,1780347648.1454422
2026/06/01 21:00:48.714,4,143771,143153,0,0,78.55,39,345,3201,1780347648.7816217
2026/06/01 21:00:49.350,4,143771,143153,0,0,78.54,39,345,3201,1780347649.4175947
2026/06/01 21:00:50.019,22,143771,143135,0,0,79.69,39,1980,3201,1780347650.1245527
2026/06/01 21:00:50.689,692,143771,142465,0,0,107.32,40,1980,3201,1780347650.7527978
2026/06/01 21:00:51.318,59104,143771,84053,10,0,120.84,40,1980,3201,1780347651.3827055
2026/06/01 21:00:51.947,59104,143771,84053,12,0,121.66,40,1980,3201,1780347652.0129204
2026/06/01 21:00:52.578,59104,143771,84053,10,0,121.63,40,1980,3201,1780347652.6435158
2026/06/01 21:00:53.208,59104,143771,84053,10,0,121.52,40,1980,3201,1780347653.2739334
2026/06/01 21:00:53.838,59104,143771,84053,10,0,121.52,40,1980,3201,1780347653.9032776
2026/06/01 21:00:54.468,59104,143771,84053,10,0,121.57,40,1980,3201,1780347654.5333405
2026/06/01 21:00:55.098,59104,143771,84053,12,0,121.65,40,1980,3201,1780347655.1637328
2026/06/01 21:00:55.729,59104,143771,84053,9,0,121.70,40,1980,3201,1780347655.7948234
2026/06/01 21:00:56.359,59104,143771,84053,12,0,121.72,40,1980,3201,1780347656.4243727
2026/06/01 21:00:56.989,59104,143771,84053,12,0,121.78,40,1980,3201,1780347657.0540268
2026/06/01 21:00:57.618,59104,143771,84053,12,0,121.74,40,1980,3201,1780347657.6827512
2026/06/01 21:00:58.247,59104,143771,84053,12,0,121.73,40,1980,3201,1780347658.3114102
2026/06/01 21:00:58.876,59104,143771,84053,12,0,121.74,40,1980,3201,1780347658.9414935
2026/06/01 21:00:59.505,59104,143771,84053,6,0,121.74,40,1980,3201,1780347659.5698295
2026/06/01 21:01:00.133,59104,143771,84053,10,0,121.71,40,1980,3201,1780347660.198496
2026/06/01 21:01:00.762,59104,143771,84053,12,0,121.72,40,1980,3201,1780347660.8275485
2026/06/01 21:01:01.392,59104,143771,84053,10,0,121.77,40,1980,3201,1780347661.4572108
2026/06/01 21:01:02.021,59104,143771,84053,8,0,121.60,40,1980,3201,1780347662.0856342
2026/06/01 21:01:02.649,59104,143771,84053,10,0,121.61,40,1980,3201,1780347662.7141852
2026/06/01 21:01:03.278,59104,143771,84053,12,0,121.63,40,1980,3201,1780347663.34311
2026/06/01 21:01:03.907,122412,143771,20745,0,0,126.69,40,1980,3201,1780347663.9722424
2026/06/01 21:01:04.536,122434,143771,20723,0,0,126.16,40,1980,3201,1780347664.602988
2026/06/01 21:01:05.169,122434,143771,20723,0,0,120.74,40,1980,3201,1780347665.2346733
2026/06/01 21:01:05.800,122434,143771,20723,0,0,120.68,40,1980,3201,1780347665.8669345
2026/06/01 21:01:06.433,122434,143771,20723,0,0,120.60,40,1980,3201,1780347666.4983487
2026/06/01 21:01:07.064,122434,143771,20723,0,0,120.62,40,1980,3201,1780347667.1309006
2026/06/01 21:01:07.697,122434,143771,20723,0,0,120.63,40,1980,3201,1780347667.76311
2026/06/01 21:01:08.329,122434,143771,20723,0,0,120.64,40,1980,3201,1780347668.3949714
2026/06/01 21:01:08.961,122434,143771,20723,0,0,120.67,40,1980,3201,1780347669.0271206
2026/06/01 21:01:09.593,122434,143771,20723,0,0,120.70,40,1980,3201,1780347669.6592593
2026/06/01 21:01:10.225,122434,143771,20723,0,0,120.65,40,1980,3201,1780347670.2910373
