timestamp,memory.used,memory.total,memory.free,utilization.gpu,utilization.memory,power.draw,temperature.gpu,clocks.current.sm,clocks.current.memory,t_unix
2026/06/01 21:11:24.500,1,143771,143156,0,0,122.28,41,1980,3201,1780348284.586185
2026/06/01 21:11:37.424,4,143771,143153,0,0,78.69,39,345,3201,1780348297.4831026
2026/06/01 21:11:38.031,4,143771,143153,0,0,78.65,39,345,3201,1780348298.0893002
2026/06/01 21:11:38.637,4,143771,143153,0,0,78.68,39,345,3201,1780348298.6949697
2026/06/01 21:11:39.280,4,143771,143153,0,0,78.69,39,345,3201,1780348299.3464484
2026/06/01 21:11:39.894,4,143771,143153,0,0,78.62,39,345,3201,1780348299.952128
2026/06/01 21:11:40.500,4,143771,143153,0,0,78.65,39,345,3201,1780348300.5576398
2026/06/01 21:11:41.109,4,143771,143153,0,0,78.59,39,345,3201,1780348301.167042
2026/06/01 21:11:41.720,4,143771,143153,0,0,78.61,39,345,3201,1780348301.7785804
2026/06/01 21:11:42.330,4,143771,143153,0,0,78.65,39,345,3201,1780348302.3890605
2026/06/01 21:11:42.943,4,143771,143153,0,0,78.65,39,345,3201,1780348303.0078387
2026/06/01 21:11:43.557,4,143771,143153,0,0,78.65,39,345,3201,1780348303.6156683
2026/06/01 21:11:44.175,4,143771,143153,0,0,78.54,39,345,3201,1780348304.237423
2026/06/01 21:11:44.806,4,143771,143153,0,0,78.57,39,345,3201,1780348304.874072
2026/06/01 21:11:45.442,4,143771,143153,0,0,78.60,39,345,3201,1780348305.5091946
2026/06/01 21:11:46.078,4,143771,143153,0,0,78.55,39,345,3201,1780348306.144556
2026/06/01 21:11:46.715,4,143771,143153,0,0,78.54,39,345,3201,1780348306.8354626
2026/06/01 21:11:47.401,692,143771,142465,0,0,105.06,40,1980,3201,1780348307.466523
2026/06/01 21:11:48.033,59104,143771,84053,12,0,121.04,40,1980,3201,1780348308.0987113
2026/06/01 21:11:48.666,59104,143771,84053,9,0,122.06,40,1980,3201,1780348308.73092
2026/06/01 21:11:49.299,59104,143771,84053,10,0,122.40,40,1980,3201,1780348309.3649843
2026/06/01 21:11:49.931,59104,143771,84053,6,0,122.43,40,1980,3201,1780348309.9973247
2026/06/01 21:11:50.564,59104,143771,84053,10,0,122.57,40,1980,3201,1780348310.6305947
2026/06/01 21:11:51.198,59104,143771,84053,10,0,122.60,40,1980,3201,1780348311.2640605
2026/06/01 21:11:51.833,59104,143771,84053,9,0,122.57,40,1980,3201,1780348311.899356
2026/06/01 21:11:52.466,59104,143771,84053,9,0,122.52,40,1980,3201,1780348312.530968
2026/06/01 21:11:53.097,59104,143771,84053,10,0,122.54,40,1980,3201,1780348313.1621702
2026/06/01 21:11:53.727,59104,143771,84053,10,0,122.51,40,1980,3201,1780348313.7924185
2026/06/01 21:11:54.359,59104,143771,84053,10,0,122.48,40,1980,3201,1780348314.4245863
2026/06/01 21:11:54.991,59104,143771,84053,10,0,122.49,40,1980,3201,1780348315.0551937
2026/06/01 21:11:55.621,59104,143771,84053,9,0,122.52,40,1980,3201,1780348315.6867948
2026/06/01 21:11:56.253,59104,143771,84053,9,0,122.55,40,1980,3201,1780348316.318391
2026/06/01 21:11:56.887,59104,143771,84053,9,0,122.53,40,1980,3201,1780348316.9524312
2026/06/01 21:11:57.518,59104,143771,84053,10,0,122.53,40,1980,3201,1780348317.5831466
2026/06/01 21:11:58.150,59104,143771,84053,6,0,122.50,40,1980,3201,1780348318.2144935
2026/06/01 21:11:58.780,59104,143771,84053,10,0,122.56,40,1980,3201,1780348318.8450036
2026/06/01 21:11:59.411,59104,143771,84053,12,0,122.59,40,1980,3201,1780348319.4767368
2026/06/01 21:12:00.043,59104,143771,84053,12,0,122.79,40,1980,3201,1780348320.1084082
2026/06/01 21:12:00.674,59104,143771,84053,12,0,122.78,40,1980,3201,1780348320.7395048
