model,regime_id,regime_name,regime_hint,n_reps,n_pass,input_len_spec,output_len_spec,max_concurrency,num_prompts,dataset_name,errors,request_throughput,input_throughput,output_throughput,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_mean_ms,tpot_p50_ms,tpot_p99_ms,itl_p50_ms,itl_p95_ms,itl_p99_ms,e2e_mean_ms,e2e_p50_ms,e2e_p99_ms,attention_backend,schedule_policy,chunked_prefill_size,max_prefill_tokens,max_running_requests,mem_fraction_static,kv_cache_size_gb_total,max_total_num_tokens,cuda_graph_bs_captured_max,peak_running_reqs,peak_queue_reqs,prefill_batch_count,decode_batch_count,concurrency_capped,retract_events,kv_pool_full_events,throughput_gap_vs_R1_pct,ttft_gap_vs_R1_pct,tpot_gap_vs_R1_pct,p95_lat_gap_vs_R1_pct,throughput_vs_best_pct,ttft_vs_best_pct,tpot_vs_best_pct
dense,R1,R1_baseline_short_low_conc,baseline_low_load,2,2,128,128,4,32,random,,21.1128,1556.4128,1427.0966,27.4491,20.6769,95.4001,95.6192,2.2561,2.3216,3.08,1.7736,2.503,18.8534,182.3452,188.2752,374.0369,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,4,0,31.5,15,False,0,0,0.0,0.0,0.0,0.0,-84.16,0.04,27.43
dense,R2,R2_decode_heavy,decode_saturation,2,2,128,1024,32,64,random,,16.6974,1179.7769,9008.7784,53.1554,39.5345,118.4057,118.7194,2.6919,2.6971,3.8417,2.259,2.7238,17.2534,1475.7189,1518.8881,2852.5899,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,32,1,37,39,False,0,0,531.27,93.65,19.32,662.65,0.0,91.28,52.05
dense,R3,R3_prefill_heavy,prefill_dominated,2,2,4096,128,8,32,random,,26.6751,62465.5684,1803.0697,41.4895,33.7707,108.9582,109.1954,3.2932,3.333,4.9084,2.3598,14.1071,19.492,268.0694,285.0798,544.0228,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,8.5,0,28,9,False,0,0,26.35,51.15,45.97,45.45,-79.99,63.4,86.01
dense,R4,R4_long_in_long_out,prefill_and_decode_mixed,2,2,4096,512,8,24,random,,8.9577,21210.666,2498.4462,43.2489,29.266,94.7976,116.3264,2.7317,2.7861,3.1127,2.4657,2.8967,15.422,798.9268,780.3945,1476.7561,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,8,0,21.5,25,False,0,0,75.07,57.56,21.08,294.82,-72.27,41.6,54.3
dense,R5,R5_high_concurrency,saturation_high_conc,2,2,512,256,64,128,random,,46.708,12568.842,5802.3794,537.8575,544.5779,1234.8933,1390.6191,4.8334,4.8196,14.1436,2.2257,17.7617,22.259,1102.9931,1107.7634,2332.4376,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,32,33,86.5,17,True,0,0,306.59,1859.47,114.24,523.58,-35.59,2534.9,173.01
dense,R6,R6_low_concurrency,latency_under_utilization,2,2,512,256,1,16,random,,3.534,763.1125,521.2577,22.7019,20.6679,33.8827,53.3677,1.7704,1.7739,1.7889,1.7783,1.8153,1.8544,282.4816,245.4283,483.3879,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,1,0,18,60,False,0,0,-63.47,-17.29,-21.53,29.24,-94.21,0.0,0.0
dense,R7,R7_mixed_lengths,mixed_length_distribution,2,2,2048±95%,256,32,64,random,,27.0915,54116.6259,6736.4813,107.8746,103.82,187.9458,243.2167,4.2524,4.2922,4.8766,3.7756,4.1238,16.8056,1161.1912,1157.3288,1372.9666,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,32,4.5,23,13,False,0,0,372.04,293.0,88.48,267.07,-25.22,402.32,140.19
dense,R8,R8_prefix_sharing,radix_cache_prefix_reuse,2,2,2048+128,256,32,64,generated-shared-prefix,,26.9673,61651.547,6903.6384,157.6184,158.9756,194.1329,231.3895,3.999,3.9126,4.1659,3.7832,3.9099,4.0252,1177.3581,1177.6251,1224.3501,fa3,lpm,-1,16384,32,0.7,96.18,900480,32,32,0,20.5,13,False,0,0,383.75,474.22,77.25,227.33,-23.37,669.19,125.88
gemma,R1,R1_baseline_short_low_conc,baseline_low_load,2,2,128,128,4,32,random,,8.876,645.4498,599.9604,50.4428,40.3866,120.5476,120.7529,5.6162,5.6199,7.0285,4.7314,5.0814,36.7411,434.4224,469.5406,835.4281,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,4,0,31,15,False,0,0,0.0,0.0,0.0,0.0,-88.03,0.0,26.01
gemma,R2,R2_decode_heavy,decode_saturation,2,2,128,1024,32,64,random,,7.3674,513.1879,3974.9614,82.6566,63.4869,132.7619,133.2116,5.9128,6.0501,7.4429,5.2145,5.6375,33.2231,3230.9259,3387.6029,6277.6915,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,32,0,35,39,False,0,0,562.54,63.86,5.28,651.43,-20.68,57.2,32.67
gemma,R3,R3_prefill_heavy,prefill_dominated,2,2,4096,128,8,32,random,,13.3144,31165.3136,899.9716,67.6473,41.5989,143.4707,143.7693,6.6251,6.8979,8.4316,4.8761,30.9915,37.0178,530.0668,586.065,1061.9933,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,8,0,27,9,False,0,0,50.01,34.11,17.96,27.12,-82.04,3.0,48.65
gemma,R4,R4_long_in_long_out,prefill_and_decode_mixed,2,2,4096,512,8,24,random,,4.5386,10742.3017,1265.8915,74.2535,42.7311,141.499,141.6969,5.3131,5.3458,5.6878,4.8779,5.0497,32.3473,1554.9991,1562.6218,2879.0504,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,8,0,19,25,False,0,0,111.0,47.2,-5.4,244.62,-74.74,5.81,19.21
gemma,R5,R5_high_concurrency,saturation_high_conc,2,2,512,256,64,128,random,,22.3175,5983.184,2772.4271,1058.9141,1043.4989,2623.4989,2814.3232,9.6685,9.9999,12.6461,5.2204,35.6637,39.7609,2240.5466,2243.3318,4707.3164,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,32,34,83,17,True,0,0,362.1,1999.24,72.15,463.46,-44.67,2483.78,116.93
gemma,R6,R6_low_concurrency,latency_under_utilization,2,2,512,256,1,16,random,,1.438,309.0811,212.1056,41.2143,41.7307,44.5545,45.9887,4.4569,4.4622,4.4703,4.4712,4.4984,4.5507,694.7511,602.506,1166.2792,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,1,0,18,60,False,0,0,-64.65,-18.29,-20.64,39.6,-95.77,3.33,0.0
gemma,R7,R7_mixed_lengths,mixed_length_distribution,2,2,2048±95%,256,32,64,random,,18.0264,35990.5653,4482.3786,182.777,140.6828,386.0475,386.3234,6.2853,6.3444,7.3814,5.3411,5.4875,42.2564,1739.8701,1733.0689,2121.9447,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,32,15,19.5,13,False,0,0,647.11,262.35,11.91,153.99,-10.55,248.34,41.02
gemma,R8,R8_prefix_sharing,radix_cache_prefix_reuse,2,2,2048+128,256,32,64,generated-shared-prefix,,19.5745,43793.6389,5011.0694,220.9127,207.676,321.9778,322.3982,5.5111,5.4924,6.0011,5.311,5.3976,5.6897,1626.2509,1626.4281,1686.6725,fa3,lpm,-1,16384,32,0.7,95.42,3848511,32,32,1,12,13,False,0,0,735.23,337.95,-1.87,101.89,0.0,414.22,23.65
moe,R1,R1_baseline_short_low_conc,baseline_low_load,2,2,128,128,4,32,random,,6.9416,511.7247,469.2075,57.1462,45.1757,132.901,133.1258,7.4081,7.3347,9.3523,6.448,6.8302,40.2966,559.7737,607.9221,1079.1104,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,4,0,31.5,15,False,0,0,0.0,0.0,0.0,0.0,-86.02,1.43,74.91
moe,R2,R2_decode_heavy,decode_saturation,2,2,128,1024,32,64,random,,3.2167,227.2829,1735.5327,100.0883,79.1502,147.9863,148.271,14.6665,15.0669,16.0558,14.2121,15.4586,46.208,7933.3038,7920.4557,15478.9543,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,32,0,36,39,False,0,0,269.89,75.14,97.98,1334.42,-48.27,77.72,246.28
moe,R3,R3_prefill_heavy,prefill_dominated,2,2,4096,128,8,32,random,,7.9272,18563.2903,535.8297,123.9433,78.91,308.8352,309.0698,11.5444,11.8455,15.383,8.445,41.6047,48.0865,926.7645,971.9531,1951.7215,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,8,0,29,9,False,0,0,14.2,116.89,55.83,80.86,-84.03,77.18,172.57
moe,R4,R4_long_in_long_out,prefill_and_decode_mixed,2,2,4096,512,8,24,random,,2.3925,5665.0467,667.297,156.4913,117.2637,308.9142,309.0495,10.868,10.607,19.7426,8.9335,14.9153,45.7334,3037.1121,3036.6898,5667.5749,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,8,0,20.5,25,False,0,0,42.22,173.84,46.7,425.21,-80.11,163.29,156.6
moe,R5,R5_high_concurrency,saturation_high_conc,2,2,512,256,64,128,random,,11.3195,3046.0157,1406.1867,2075.1372,2172.9555,5337.8494,5673.2051,19.9147,20.334,23.4163,15.4993,49.6813,56.5006,4498.4766,4503.403,9406.0053,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,32,34,83.5,17,True,0,0,199.69,3531.28,168.82,771.64,-58.09,4778.97,370.2
moe,R6,R6_low_concurrency,latency_under_utilization,2,2,512,256,1,16,random,,1.502,324.3295,221.5391,44.1515,44.5372,50.3782,51.0288,4.2354,4.2404,4.2655,4.2584,4.2947,4.4413,665.0931,577.9674,1112.7505,fa3,lpm,-1,16384,32,0.85,61.2,668504,32,1,0,18.5,60,False,0,0,-52.78,-22.74,-42.83,3.12,-93.4,0.0,0.0
moe,R7,R7_mixed_lengths,mixed_length_distribution,2,2,2048±95%,256,32,64,random,,7.5617,15104.8662,1880.266,407.7087,245.0617,1001.2687,1001.6325,15.2056,15.4534,18.1309,12.6489,14.2042,94.3977,4174.5032,4135.9451,5158.542,fa3,lpm,-1,16384,32,0.85,61.2,668503,32,32,9.5,20,13,False,0,0,300.73,613.45,105.26,378.04,-43.96,450.24,259.01
moe,R8,R8_prefix_sharing,radix_cache_prefix_reuse,2,1,2048+128,256,32,64,generated-shared-prefix,empty raw jsonl: /home/t-jialianggu/work/EndtoEnd-auto-optimization/experiments/tmp/regime_study/moe_rep1/20260601_173305/run_0008_R8_prefix_sharing/quick_raw.jsonl,13.1066,29963.8187,3355.2989,385.0871,249.6243,726.5339,727.561,8.0259,7.8257,9.6969,7.5371,7.9875,10.1856,2431.6988,2431.8431,2672.8441,fa3,lpm,-1,16384,32,0.85,61.2,668503,32,32,5,12,13,False,0,0,615.1,573.86,8.34,147.69,0.0,460.48,89.5
